Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Fam114a2	ENSMUST00000020831.7	"family with sequence similarity 114, member A2 "	mmu-miR-370-3p	-1.27
Tpcn1	ENSMUST00000046426.8	"two pore channel 1 "	mmu-miR-370-3p	-1.00
Syne1	ENSMUST00000095899.3	"spectrin repeat containing, nuclear envelope 1 "	mmu-miR-370-3p	-0.90
Ccdc37	ENSMUST00000062750.6	"coiled-coil domain containing 37 "	mmu-miR-370-3p	-0.84
Hdac4	ENSMUST00000097644.3	"histone deacetylase 4 "	mmu-miR-370-3p	-0.78
Syne2	ENSMUST00000143031.2	"spectrin repeat containing, nuclear envelope 2 "	mmu-miR-370-3p	-0.74
Ank3	ENSMUST00000182884.2	"ankyrin 3, epithelial "	mmu-miR-370-3p	-0.69
Gm6760	ENSMUST00000114682.3	"predicted gene 6760 "	mmu-miR-370-3p	-0.66
4930595D18Rik	ENSMUST00000121608.1	"RIKEN cDNA 4930595D18 gene "	mmu-miR-370-3p	-0.66
Gm16253	ENSMUST00000148290.1	"predicted gene 16253 "	mmu-miR-370-3p	-0.65
Atp5c1	ENSMUST00000114896.2	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 "	mmu-miR-370-3p	-0.65
Gm5938	ENSMUST00000114030.2	"predicted gene 5938 "	mmu-miR-370-3p	-0.65
Mafk	ENSMUST00000018287.4	"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian) "	mmu-miR-370-3p	-0.65
D10Jhu81e	ENSMUST00000001242.7	"DNA segment, Chr 10, Johns Hopkins University 81 expressed "	mmu-miR-370-3p	-0.61
Ddi2	ENSMUST00000102484.4	"DNA-damage inducible protein 2 "	mmu-miR-370-3p	-0.61
4833427G06Rik	ENSMUST00000170947.1	"RIKEN cDNA 4833427G06 gene "	mmu-miR-370-3p	-0.60
Arhgap19	ENSMUST00000026150.9	"Rho GTPase activating protein 19 "	mmu-miR-370-3p	-0.60
Cacna1e	ENSMUST00000187541.1	"calcium channel, voltage-dependent, R type, alpha 1E subunit "	mmu-miR-370-3p	-0.59
