Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Msh6	ENSMUST00000005503.3	"mutS homolog 6 (E. coli) "	mmu-miR-409-3p	-0.43
Prex2	ENSMUST00000027056.6	"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 "	mmu-miR-409-3p	-0.39
Efcab11	ENSMUST00000046485.3	"EF-hand calcium binding domain 11 "	mmu-miR-409-3p	-0.38
Dld	ENSMUST00000110857.3	"dihydrolipoamide dehydrogenase "	mmu-miR-409-3p	-0.33
Hmgb2	ENSMUST00000067925.6	"high mobility group box 2 "	mmu-miR-409-3p	-0.31
Gm6658	ENSMUST00000098517.1	"predicted gene 6658 "	mmu-miR-409-3p	-0.30
Ebag9	ENSMUST00000022964.7	"estrogen receptor-binding fragment-associated gene 9 "	mmu-miR-409-3p	-0.27
Zdhhc20	ENSMUST00000089473.3	"zinc finger, DHHC domain containing 20 "	mmu-miR-409-3p	-0.26
Rab10	ENSMUST00000021001.8	"RAB10, member RAS oncogene family "	mmu-miR-409-3p	-0.26
Fgf9	ENSMUST00000165526.2	"fibroblast growth factor 9 "	mmu-miR-409-3p	-0.26
Ewsr1	ENSMUST00000079949.7	"Ewing sarcoma breakpoint region 1 "	mmu-miR-409-3p	-0.24
Nxph1	ENSMUST00000160300.1	"neurexophilin 1 "	mmu-miR-409-3p	-0.23
Ccdc34	ENSMUST00000028580.6	"coiled-coil domain containing 34 "	mmu-miR-409-3p	-0.22
Lmo4	ENSMUST00000120539.2	"LIM domain only 4 "	mmu-miR-409-3p	-0.20
Csf1r	ENSMUST00000115268.3	"colony stimulating factor 1 receptor "	mmu-miR-409-3p	-0.19
Hormad1	ENSMUST00000090797.5	"HORMA domain containing 1 "	mmu-miR-409-3p	-0.19
Akirin1	ENSMUST00000102636.3	"akirin 1 "	mmu-miR-409-3p	-0.19
Schip1	ENSMUST00000182532.2	"schwannomin interacting protein 1 "	mmu-miR-409-3p	-0.17
Twist1	ENSMUST00000049089.5	"twist basic helix-loop-helix transcription factor 1 "	mmu-miR-409-3p	-0.17
