Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Tpbpb	ENSMUST00000080766.6	"trophoblast specific protein beta "	mmu-miR-144-5p	-0.65
Bmp5	ENSMUST00000012281.7	"bone morphogenetic protein 5 "	mmu-miR-144-5p	-0.64
Bend6	ENSMUST00000129464.2	"BEN domain containing 6 "	mmu-miR-144-5p	-0.61
Cypt14	ENSMUST00000179096.1	"cysteine-rich perinuclear theca 14 "	mmu-miR-144-5p	-0.58
Gm10053	ENSMUST00000073080.5	"predicted gene 10053 "	mmu-miR-144-5p	-0.57
4930516K23Rik	ENSMUST00000138055.1	"RIKEN cDNA 4930516K23 gene "	mmu-miR-144-5p	-0.56
Myeov2	ENSMUST00000112999.2	"myeloma overexpressed 2 "	mmu-miR-144-5p	-0.56
Tfg	ENSMUST00000065515.8	"Trk-fused gene "	mmu-miR-144-5p	-0.55
Cycs	ENSMUST00000161401.1	"cytochrome c, somatic "	mmu-miR-144-5p	-0.55
Sptssa	ENSMUST00000056228.6	"serine palmitoyltransferase, small subunit A "	mmu-miR-144-5p	-0.50
Spata4	ENSMUST00000033917.6	"spermatogenesis associated 4 "	mmu-miR-144-5p	-0.49
Olfr1389	ENSMUST00000185284.1	"olfactory receptor 1389 "	mmu-miR-144-5p	-0.49
Htr3a	ENSMUST00000003826.7	"5-hydroxytryptamine (serotonin) receptor 3A "	mmu-miR-144-5p	-0.48
Kif2c	ENSMUST00000065896.3	"kinesin family member 2C "	mmu-miR-144-5p	-0.46
6330419J24Rik	ENSMUST00000068106.3	"RIKEN cDNA 6330419J24 gene "	mmu-miR-144-5p	-0.45
Tmem230	ENSMUST00000110164.2	"transmembrane protein 230 "	mmu-miR-144-5p	-0.44
Mapkapk3	ENSMUST00000035194.2	"mitogen-activated protein kinase-activated protein kinase 3 "	mmu-miR-144-5p	-0.43
Vmn1r32	ENSMUST00000079584.1	"vomeronasal 1 receptor 32 "	mmu-miR-144-5p	-0.43
Dram2	ENSMUST00000067630.7	"DNA-damage regulated autophagy modulator 2 "	mmu-miR-144-5p	-0.42
Ebi3	ENSMUST00000003274.6	"Epstein-Barr virus induced gene 3 "	mmu-miR-144-5p	-0.42
Pgm2	ENSMUST00000058351.10	"phosphoglucomutase 2 "	mmu-miR-144-5p	-0.42
Nms	ENSMUST00000088029.2	"neuromedin S "	mmu-miR-144-5p	-0.41
Tmem202	ENSMUST00000055345.7	"transmembrane protein 202 "	mmu-miR-144-5p	-0.41
Gpatch3	ENSMUST00000030662.2	"G patch domain containing 3 "	mmu-miR-144-5p	-0.41
Tex9	ENSMUST00000085358.6	"testis expressed gene 9 "	mmu-miR-144-5p	-0.40
Smarca2	ENSMUST00000025862.8	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 "	mmu-miR-144-5p	-0.40
Il12rb2	ENSMUST00000117441.2	"interleukin 12 receptor, beta 2 "	mmu-miR-144-5p	-0.39
Gm21847	ENSMUST00000178227.1	"predicted gene, 21847 "	mmu-miR-144-5p	-0.38
Ccnb1	ENSMUST00000072119.9	"cyclin B1 "	mmu-miR-144-5p	-0.38
Ambn	ENSMUST00000031226.7	"ameloblastin "	mmu-miR-144-5p	-0.38
Chst14	ENSMUST00000099546.5	"carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 14 "	mmu-miR-144-5p	-0.38
Htr1f	ENSMUST00000063076.4	"5-hydroxytryptamine (serotonin) receptor 1F "	mmu-miR-144-5p	-0.38
Ccl12	ENSMUST00000000194.3	"chemokine (C-C motif) ligand 12 "	mmu-miR-144-5p	-0.38
Cyp2c55	ENSMUST00000025966.4	"cytochrome P450, family 2, subfamily c, polypeptide 55 "	mmu-miR-144-5p	-0.37
Bbs2	ENSMUST00000034206.4	"Bardet-Biedl syndrome 2 (human) "	mmu-miR-144-5p	-0.37
Rnf146	ENSMUST00000037548.5	"ring finger protein 146 "	mmu-miR-144-5p	-0.37
RP23-113N18.1	ENSMUST00000186652.1		mmu-miR-144-5p	-0.36
Lgals9	ENSMUST00000108268.4	"lectin, galactose binding, soluble 9 "	mmu-miR-144-5p	-0.36
Sytl5	ENSMUST00000067529.3	"synaptotagmin-like 5 "	mmu-miR-144-5p	-0.36
Yipf5	ENSMUST00000025364.4	"Yip1 domain family, member 5 "	mmu-miR-144-5p	-0.35
RP23-408P8.1	ENSMUST00000188801.1		mmu-miR-144-5p	-0.35
Eddm3b	ENSMUST00000100645.3	"epididymal protein 3B "	mmu-miR-144-5p	-0.35
Glipr1l2	ENSMUST00000020434.3	"GLI pathogenesis-related 1 like 2 "	mmu-miR-144-5p	-0.35
Pcdhb11	ENSMUST00000053073.4	"protocadherin beta 11 "	mmu-miR-144-5p	-0.35
Fndc5	ENSMUST00000102600.3	"fibronectin type III domain containing 5 "	mmu-miR-144-5p	-0.35
Gm7102	ENSMUST00000180168.1	"predicted gene 7102 "	mmu-miR-144-5p	-0.35
Ccr3	ENSMUST00000039171.7	"chemokine (C-C motif) receptor 3 "	mmu-miR-144-5p	-0.35
Ms4a2	ENSMUST00000186978.1	"membrane-spanning 4-domains, subfamily A, member 2 "	mmu-miR-144-5p	-0.35
CDR1as	CDR1as	circular RNA CDR1as	mmu-miR-144-5p	-0.34
Gm12355	ENSMUST00000104933.1	"predicted gene 12355 "	mmu-miR-144-5p	-0.34
Tmem60	ENSMUST00000115259.2	"transmembrane protein 60 "	mmu-miR-144-5p	-0.34
D130040H23Rik	ENSMUST00000078257.6	"RIKEN cDNA D130040H23 gene "	mmu-miR-144-5p	-0.34
Taf1	ENSMUST00000101341.3	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor "	mmu-miR-144-5p	-0.34
E230019M04Rik	ENSMUST00000044806.2	"RIKEN cDNA E230019M04 gene "	mmu-miR-144-5p	-0.33
Ywhab	ENSMUST00000018470.4	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide "	mmu-miR-144-5p	-0.33
Gucy1b3	ENSMUST00000029635.8	"guanylate cyclase 1, soluble, beta 3 "	mmu-miR-144-5p	-0.33
Ifi44	ENSMUST00000029671.7	"interferon-induced protein 44 "	mmu-miR-144-5p	-0.33
Il22	ENSMUST00000096691.4	"interleukin 22 "	mmu-miR-144-5p	-0.33
Srsf3	ENSMUST00000130216.1	"serine/arginine-rich splicing factor 3 "	mmu-miR-144-5p	-0.32
Lin54	ENSMUST00000149714.2	"lin-54 homolog (C. elegans) "	mmu-miR-144-5p	-0.32
Steap4	ENSMUST00000115421.1	"STEAP family member 4 "	mmu-miR-144-5p	-0.32
Gm5549	ENSMUST00000163241.2	"predicted gene 5549 "	mmu-miR-144-5p	-0.31
Akirin1	ENSMUST00000102636.3	"akirin 1 "	mmu-miR-144-5p	-0.31
Ppp4r4	ENSMUST00000021631.6	"protein phosphatase 4, regulatory subunit 4 "	mmu-miR-144-5p	-0.31
Gulp1	ENSMUST00000162600.1	"GULP, engulfment adaptor PTB domain containing 1 "	mmu-miR-144-5p	-0.31
Defb1	ENSMUST00000051017.8	"defensin beta 1 "	mmu-miR-144-5p	-0.31
Asb1	ENSMUST00000027538.8	"ankyrin repeat and SOCS box-containing 1 "	mmu-miR-144-5p	-0.30
Usmg5	ENSMUST00000096014.3	"upregulated during skeletal muscle growth 5 "	mmu-miR-144-5p	-0.30
Lce3f	ENSMUST00000090863.3	"late cornified envelope 3F "	mmu-miR-144-5p	-0.30
Rab42	ENSMUST00000040411.6	"RAB42, member RAS oncogene family "	mmu-miR-144-5p	-0.30
Zfp599	ENSMUST00000086281.4	"zinc finger protein 599 "	mmu-miR-144-5p	-0.30
Gabarapl2	ENSMUST00000034428.7	"gamma-aminobutyric acid (GABA) A receptor-associated protein-like 2 "	mmu-miR-144-5p	-0.30
Vmn2r80	ENSMUST00000165834.2	"vomeronasal 2, receptor 80 "	mmu-miR-144-5p	-0.30
Fem1c	ENSMUST00000036226.5	"fem-1 homolog c (C.elegans) "	mmu-miR-144-5p	-0.30
Akr1c21	ENSMUST00000021628.3	"aldo-keto reductase family 1, member C21 "	mmu-miR-144-5p	-0.30
Gdap1	ENSMUST00000026879.7	"ganglioside-induced differentiation-associated-protein 1 "	mmu-miR-144-5p	-0.29
Amer3	ENSMUST00000052670.9	"APC membrane recruitment 3 "	mmu-miR-144-5p	-0.29
Gm806	ENSMUST00000096633.2	"predicted gene 806 "	mmu-miR-144-5p	-0.29
Hic1	ENSMUST00000055619.4	"hypermethylated in cancer 1 "	mmu-miR-144-5p	-0.29
Scoc	ENSMUST00000081506.4	"short coiled-coil protein "	mmu-miR-144-5p	-0.29
Nmbr	ENSMUST00000190751.1	"neuromedin B receptor "	mmu-miR-144-5p	-0.29
Nts	ENSMUST00000020040.3	"neurotensin "	mmu-miR-144-5p	-0.29
Mageb3	ENSMUST00000104936.3	"melanoma antigen, family B, 3 "	mmu-miR-144-5p	-0.29
Sag	ENSMUST00000077772.6	"S-antigen, retina and pineal gland (arrestin) "	mmu-miR-144-5p	-0.29
B230307C23Rik	ENSMUST00000122450.2	"RIKEN cDNA B230307C23 gene "	mmu-miR-144-5p	-0.29
Olfr20	ENSMUST00000120137.1	"olfactory receptor 20 "	mmu-miR-144-5p	-0.28
Gbp4	ENSMUST00000100962.3	"guanylate binding protein 4 "	mmu-miR-144-5p	-0.28
Atp6v1c1	ENSMUST00000022904.6	"ATPase, H+ transporting, lysosomal V1 subunit C1 "	mmu-miR-144-5p	-0.28
Esp36	ENSMUST00000172814.2	"exocrine gland secreted peptide 36 "	mmu-miR-144-5p	-0.28
Gbp6	ENSMUST00000050011.8	"guanylate binding protein 6 "	mmu-miR-144-5p	-0.28
Gabpa	ENSMUST00000009120.7	"GA repeat binding protein, alpha "	mmu-miR-144-5p	-0.28
Krtap6-5	ENSMUST00000074637.2	"keratin associated protein 6-5 "	mmu-miR-144-5p	-0.28
Slco1b2	ENSMUST00000042812.6	"solute carrier organic anion transporter family, member 1b2 "	mmu-miR-144-5p	-0.28
Stxbp5	ENSMUST00000038213.8	"syntaxin binding protein 5 (tomosyn) "	mmu-miR-144-5p	-0.28
Tyw5	ENSMUST00000162686.2	"tRNA-yW synthesizing protein 5 "	mmu-miR-144-5p	-0.28
Cdkn1a	ENSMUST00000023829.6	"cyclin-dependent kinase inhibitor 1A (P21) "	mmu-miR-144-5p	-0.28
Siglec5	ENSMUST00000122423.2	"sialic acid binding Ig-like lectin 5 "	mmu-miR-144-5p	-0.28
