Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
4933428M09Rik	ENSMUST00000113046.1	"RIKEN cDNA 4933428M09 gene "	mmu-miR-147-5p	-0.86
Sepw1	ENSMUST00000044355.8	"selenoprotein W, muscle 1 "	mmu-miR-147-5p	-0.74
Tmem98	ENSMUST00000040865.8	"transmembrane protein 98 "	mmu-miR-147-5p	-0.72
Cnih1	ENSMUST00000015903.5	"cornichon homolog 1 (Drosophila) "	mmu-miR-147-5p	-0.70
Scrg1	ENSMUST00000034023.3	"scrapie responsive gene 1 "	mmu-miR-147-5p	-0.68
Mylip	ENSMUST00000038275.9	"myosin regulatory light chain interacting protein "	mmu-miR-147-5p	-0.68
Snrpe	ENSMUST00000166291.2	"small nuclear ribonucleoprotein E "	mmu-miR-147-5p	-0.67
Celf1	ENSMUST00000068726.7	"CUGBP, Elav-like family member 1 "	mmu-miR-147-5p	-0.65
A330070K13Rik	ENSMUST00000063656.5	"RIKEN cDNA A330070K13 gene "	mmu-miR-147-5p	-0.63
Vmn1r4	ENSMUST00000176838.1	"vomeronasal 1 receptor 4 "	mmu-miR-147-5p	-0.61
Rab33a	ENSMUST00000033430.2	"RAB33A, member RAS oncogene family "	mmu-miR-147-5p	-0.61
Eral1	ENSMUST00000021183.3	"Era (G-protein)-like 1 (E. coli) "	mmu-miR-147-5p	-0.61
4921517D22Rik	ENSMUST00000061597.5	"RIKEN cDNA 4921517D22 gene "	mmu-miR-147-5p	-0.60
Atl1	ENSMUST00000021466.8	"atlastin GTPase 1 "	mmu-miR-147-5p	-0.60
1700012P22Rik	ENSMUST00000030323.2	"RIKEN cDNA 1700012P22 gene "	mmu-miR-147-5p	-0.59
Gm17567	ENSMUST00000164429.1	"predicted gene, 17567 "	mmu-miR-147-5p	-0.59
Bex6	ENSMUST00000099990.4	"brain expressed gene 6 "	mmu-miR-147-5p	-0.57
Nrep	ENSMUST00000051087.9	"neuronal regeneration related protein "	mmu-miR-147-5p	-0.56
D730048I06Rik	ENSMUST00000034619.1	"RIKEN cDNA D730048I06 gene "	mmu-miR-147-5p	-0.56
Eogt	ENSMUST00000113387.2	"EGF domain-specific O-linked N-acetylglucosamine (GlcNAc) transferase "	mmu-miR-147-5p	-0.55
Maf1	ENSMUST00000160172.2	"MAF1 homolog (S. cerevisiae) "	mmu-miR-147-5p	-0.55
Tsen34	ENSMUST00000108630.2	"tRNA splicing endonuclease 34 homolog (S. cerevisiae) "	mmu-miR-147-5p	-0.55
Zfp871	ENSMUST00000159086.3	"zinc finger protein 871 "	mmu-miR-147-5p	-0.54
Calml3	ENSMUST00000077698.3	"calmodulin-like 3 "	mmu-miR-147-5p	-0.54
Cdkl2	ENSMUST00000086978.6	"cyclin-dependent kinase-like 2 (CDC2-related kinase) "	mmu-miR-147-5p	-0.54
Tmsb15l	ENSMUST00000127404.2	"thymosin beta 15b like "	mmu-miR-147-5p	-0.54
Bik	ENSMUST00000016902.3	"BCL2-interacting killer "	mmu-miR-147-5p	-0.53
