Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Eed	ENSMUST00000107234.1	"embryonic ectoderm development "	mmu-miR-455-5p	-0.63
Gdap2	ENSMUST00000029459.4	"ganglioside-induced differentiation-associated-protein 2 "	mmu-miR-455-5p	-0.59
Luc7l3	ENSMUST00000107820.1	"LUC7-like 3 (S. cerevisiae) "	mmu-miR-455-5p	-0.56
Gm9938	ENSMUST00000067077.1	"predicted gene 9938 "	mmu-miR-455-5p	-0.55
Trak2	ENSMUST00000174120.1	"trafficking protein, kinesin binding 2 "	mmu-miR-455-5p	-0.53
Tmem30a	ENSMUST00000034878.6	"transmembrane protein 30A "	mmu-miR-455-5p	-0.52
Gm5464	ENSMUST00000100453.1	"predicted gene 5464 "	mmu-miR-455-5p	-0.52
Cpeb1	ENSMUST00000098331.4	"cytoplasmic polyadenylation element binding protein 1 "	mmu-miR-455-5p	-0.51
Cept1	ENSMUST00000068301.5	"choline/ethanolaminephosphotransferase 1 "	mmu-miR-455-5p	-0.50
Prep	ENSMUST00000099858.2	"prolyl endopeptidase "	mmu-miR-455-5p	-0.49
Dcaf5	ENSMUST00000054145.6	"DDB1 and CUL4 associated factor 5 "	mmu-miR-455-5p	-0.47
Socs3	ENSMUST00000054002.3	"suppressor of cytokine signaling 3 "	mmu-miR-455-5p	-0.45
Tomm22	ENSMUST00000023062.3	"translocase of outer mitochondrial membrane 22 homolog (yeast) "	mmu-miR-455-5p	-0.45
Mylip	ENSMUST00000038275.9	"myosin regulatory light chain interacting protein "	mmu-miR-455-5p	-0.45
Enoph1	ENSMUST00000169390.2	"enolase-phosphatase 1 "	mmu-miR-455-5p	-0.45
Sox11	ENSMUST00000079063.6	"SRY (sex determining region Y)-box 11 "	mmu-miR-455-5p	-0.44
Rab18	ENSMUST00000097680.5	"RAB18, member RAS oncogene family "	mmu-miR-455-5p	-0.44
Cacnb4	ENSMUST00000178799.2	"calcium channel, voltage-dependent, beta 4 subunit "	mmu-miR-455-5p	-0.44
Nck2	ENSMUST00000086421.5	"non-catalytic region of tyrosine kinase adaptor protein 2 "	mmu-miR-455-5p	-0.42
Cdk14	ENSMUST00000115451.2	"cyclin-dependent kinase 14 "	mmu-miR-455-5p	-0.41
Taf4a	ENSMUST00000041618.8	"TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor "	mmu-miR-455-5p	-0.41
Irf2	ENSMUST00000034041.7	"interferon regulatory factor 2 "	mmu-miR-455-5p	-0.40
Cdv3	ENSMUST00000116517.3	"carnitine deficiency-associated gene expressed in ventricle 3 "	mmu-miR-455-5p	-0.39
Dyrk1a	ENSMUST00000023614.4	"dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a "	mmu-miR-455-5p	-0.39
Hnrnpl	ENSMUST00000174548.2	"heterogeneous nuclear ribonucleoprotein L "	mmu-miR-455-5p	-0.39
Yipf6	ENSMUST00000054697.5	"Yip1 domain family, member 6 "	mmu-miR-455-5p	-0.39
Add3	ENSMUST00000111741.3	"adducin 3 (gamma) "	mmu-miR-455-5p	-0.38
Cdk13	ENSMUST00000042365.7	"cyclin-dependent kinase 13 "	mmu-miR-455-5p	-0.38
Tmed2	ENSMUST00000060226.5	"transmembrane emp24 domain trafficking protein 2 "	mmu-miR-455-5p	-0.38
Lnp	ENSMUST00000111993.3	"limb and neural patterns "	mmu-miR-455-5p	-0.37
Gabarap	ENSMUST00000018711.9	"gamma-aminobutyric acid receptor associated protein "	mmu-miR-455-5p	-0.37
Brd1	ENSMUST00000109381.2	"bromodomain containing 1 "	mmu-miR-455-5p	-0.37
Serp1	ENSMUST00000029385.7	"stress-associated endoplasmic reticulum protein 1 "	mmu-miR-455-5p	-0.36
Nhlrc4	ENSMUST00000085027.3	"NHL repeat containing 4 "	mmu-miR-455-5p	-0.35
Unc5b	ENSMUST00000077925.5	"unc-5 homolog B (C. elegans) "	mmu-miR-455-5p	-0.35
Ptp4a2	ENSMUST00000165853.1	"protein tyrosine phosphatase 4a2 "	mmu-miR-455-5p	-0.35
Usp9x	ENSMUST00000089302.5	"ubiquitin specific peptidase 9, X chromosome "	mmu-miR-455-5p	-0.35
Nrxn1	ENSMUST00000160844.4	"neurexin I "	mmu-miR-455-5p	-0.35
Slitrk5	ENSMUST00000042767.7	"SLIT and NTRK-like family, member 5 "	mmu-miR-455-5p	-0.34
Rin2	ENSMUST00000110005.2	"Ras and Rab interactor 2 "	mmu-miR-455-5p	-0.34
Gm10295	ENSMUST00000094315.2	"predicted gene 10295 "	mmu-miR-455-5p	-0.33
Kcnj2	ENSMUST00000042970.2	"potassium inwardly-rectifying channel, subfamily J, member 2 "	mmu-miR-455-5p	-0.33
Dock9	ENSMUST00000100299.4	"dedicator of cytokinesis 9 "	mmu-miR-455-5p	-0.33
Ranbp3	ENSMUST00000002445.8	"RAN binding protein 3 "	mmu-miR-455-5p	-0.33
Papolg	ENSMUST00000020513.4	"poly(A) polymerase gamma "	mmu-miR-455-5p	-0.32
Calb1	ENSMUST00000029876.1	"calbindin 1 "	mmu-miR-455-5p	-0.32
AI846148	ENSMUST00000025924.2	"expressed sequence AI846148 "	mmu-miR-455-5p	-0.32
Wtap	ENSMUST00000159986.2	"Wilms tumour 1-associating protein "	mmu-miR-455-5p	-0.32
Lin28b	ENSMUST00000079390.6	"lin-28 homolog B (C. elegans) "	mmu-miR-455-5p	-0.32
Clock	ENSMUST00000075159.1	"circadian locomotor output cycles kaput "	mmu-miR-455-5p	-0.32
Rassf3	ENSMUST00000026902.7	"Ras association (RalGDS/AF-6) domain family member 3 "	mmu-miR-455-5p	-0.32
Ddx3x	ENSMUST00000000804.6	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked "	mmu-miR-455-5p	-0.31
Col8a1	ENSMUST00000089332.4	"collagen, type VIII, alpha 1 "	mmu-miR-455-5p	-0.31
Tjp1	ENSMUST00000102592.4	"tight junction protein 1 "	mmu-miR-455-5p	-0.30
Arrdc3	ENSMUST00000099356.3	"arrestin domain containing 3 "	mmu-miR-455-5p	-0.30
4930523C07Rik	ENSMUST00000163892.2	"RIKEN cDNA 4930523C07 gene "	mmu-miR-455-5p	-0.30
Hykk	ENSMUST00000039742.7	"hydroxylysine kinase 1 "	mmu-miR-455-5p	-0.30
Mfsd12	ENSMUST00000044844.8	"major facilitator superfamily domain containing 12 "	mmu-miR-455-5p	-0.29
Ankrd27	ENSMUST00000040844.10	"ankyrin repeat domain 27 (VPS9 domain) "	mmu-miR-455-5p	-0.28
Epdr1	ENSMUST00000002885.6	"ependymin related protein 1 (zebrafish) "	mmu-miR-455-5p	-0.28
Usp3	ENSMUST00000127569.2	"ubiquitin specific peptidase 3 "	mmu-miR-455-5p	-0.28
Pnrc1	ENSMUST00000049357.9	"proline-rich nuclear receptor coactivator 1 "	mmu-miR-455-5p	-0.28
Gjc1	ENSMUST00000068933.6	"gap junction protein, gamma 1 "	mmu-miR-455-5p	-0.27
Baz2b	ENSMUST00000112550.2	"bromodomain adjacent to zinc finger domain, 2B "	mmu-miR-455-5p	-0.27
Camk4	ENSMUST00000042868.4	"calcium/calmodulin-dependent protein kinase IV "	mmu-miR-455-5p	-0.27
Kdm3b	ENSMUST00000043775.7	"KDM3B lysine (K)-specific demethylase 3B "	mmu-miR-455-5p	-0.27
Ppp1r12a	ENSMUST00000070663.5	"protein phosphatase 1, regulatory (inhibitor) subunit 12A "	mmu-miR-455-5p	-0.26
