Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Hyal1	ENSMUST00000010195.8	"hyaluronoglucosaminidase 1 "	mmu-miR-134-5p	-0.92
Zmat5	ENSMUST00000009220.4	"zinc finger, matrin type 5 "	mmu-miR-134-5p	-0.78
Tcf21	ENSMUST00000049930.7	"transcription factor 21 "	mmu-miR-134-5p	-0.70
Cps1	ENSMUST00000027144.7	"carbamoyl-phosphate synthetase 1 "	mmu-miR-134-5p	-0.56
C130050O18Rik	ENSMUST00000163940.1	"RIKEN cDNA C130050O18 gene "	mmu-miR-134-5p	-0.51
Ppt1	ENSMUST00000030412.5	"palmitoyl-protein thioesterase 1 "	mmu-miR-134-5p	-0.50
Ppp1r7	ENSMUST00000027494.5	"protein phosphatase 1, regulatory (inhibitor) subunit 7 "	mmu-miR-134-5p	-0.46
Hormad2	ENSMUST00000109948.2	"HORMA domain containing 2 "	mmu-miR-134-5p	-0.46
Brinp2	ENSMUST00000004133.8	"bone morphogenic protein/retinoic acid inducible neural-specific 2 "	mmu-miR-134-5p	-0.46
A230050P20Rik	ENSMUST00000043911.7	"RIKEN cDNA A230050P20 gene "	mmu-miR-134-5p	-0.45
Spry2	ENSMUST00000022709.4	"sprouty homolog 2 (Drosophila) "	mmu-miR-134-5p	-0.44
Trp53i11	ENSMUST00000111266.2	"transformation related protein 53 inducible protein 11 "	mmu-miR-134-5p	-0.44
Sptan1	ENSMUST00000113717.2	"spectrin alpha, non-erythrocytic 1 "	mmu-miR-134-5p	-0.44
Snx24	ENSMUST00000165032.2	"sorting nexing 24 "	mmu-miR-134-5p	-0.43
Dusp1	ENSMUST00000025025.6	"dual specificity phosphatase 1 "	mmu-miR-134-5p	-0.43
Rgs7	ENSMUST00000027812.5	"regulator of G protein signaling 7 "	mmu-miR-134-5p	-0.42
Xcr1	ENSMUST00000182350.1	"chemokine (C motif) receptor 1 "	mmu-miR-134-5p	-0.42
Patz1	ENSMUST00000134089.2	"POZ (BTB) and AT hook containing zinc finger 1 "	mmu-miR-134-5p	-0.40
Rab3gap1	ENSMUST00000037649.5	"RAB3 GTPase activating protein subunit 1 "	mmu-miR-134-5p	-0.39
Foxp3	ENSMUST00000115740.2	"forkhead box P3 "	mmu-miR-134-5p	-0.38
Srek1ip1	ENSMUST00000022230.9	"splicing regulatory glutamine/lysine-rich protein 1interacting protein 1 "	mmu-miR-134-5p	-0.37
Enpp5	ENSMUST00000154166.2	"ectonucleotide pyrophosphatase/phosphodiesterase 5 "	mmu-miR-134-5p	-0.37
Pdcd7	ENSMUST00000048184.2	"programmed cell death 7 "	mmu-miR-134-5p	-0.36
Ptpn2	ENSMUST00000122412.1	"protein tyrosine phosphatase, non-receptor type 2 "	mmu-miR-134-5p	-0.36
Zdhhc9	ENSMUST00000037960.5	"zinc finger, DHHC domain containing 9 "	mmu-miR-134-5p	-0.35
Ucn2	ENSMUST00000052724.3	"urocortin 2 "	mmu-miR-134-5p	-0.35
Timm23	ENSMUST00000170331.2	"translocase of inner mitochondrial membrane 23 "	mmu-miR-134-5p	-0.34
Golm1	ENSMUST00000095739.3	"golgi membrane protein 1 "	mmu-miR-134-5p	-0.34
Eif3j1	ENSMUST00000028668.7	"eukaryotic translation initiation factor 3, subunit J1 "	mmu-miR-134-5p	-0.33
Ntm	ENSMUST00000075069.5	"neurotrimin "	mmu-miR-134-5p	-0.33
Rhoq	ENSMUST00000024956.9	"ras homolog gene family, member Q "	mmu-miR-134-5p	-0.33
Banf1	ENSMUST00000025762.9	"barrier to autointegration factor 1 "	mmu-miR-134-5p	-0.33
Mbnl1	ENSMUST00000099087.2	"muscleblind-like 1 (Drosophila) "	mmu-miR-134-5p	-0.32
Poglut1	ENSMUST00000036210.6	"protein O-glucosyltransferase 1 "	mmu-miR-134-5p	-0.32
Creb1	ENSMUST00000087366.5	"cAMP responsive element binding protein 1 "	mmu-miR-134-5p	-0.32
Cul5	ENSMUST00000120122.2	"cullin 5 "	mmu-miR-134-5p	-0.31
Lin7c	ENSMUST00000028583.7	"lin-7 homolog C (C. elegans) "	mmu-miR-134-5p	-0.31
