Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Tulp3	ENSMUST00000001562.6	"tubby-like protein 3 "	mmu-miR-6954-5p	-3.95
Dtx3	ENSMUST00000116229.1	"deltex 3 homolog (Drosophila) "	mmu-miR-6954-5p	-1.68
Ifitm1	ENSMUST00000106042.3	"interferon induced transmembrane protein 1 "	mmu-miR-486a-3p	-1.63
Ccdc97	ENSMUST00000002683.2	"coiled-coil domain containing 97 "	mmu-miR-6954-5p	-1.60
Prx	ENSMUST00000108355.1	"periaxin "	mmu-miR-486a-3p	-1.33
Slc15a1	ENSMUST00000088386.6	"solute carrier family 15 (oligopeptide transporter), member 1 "	mmu-miR-6954-5p	-1.32
Hmga1-rs1	ENSMUST00000105046.3	"high mobility group AT-hook I, related sequence 1 "	mmu-miR-6954-5p	-1.24
Tnks1bp1	ENSMUST00000111605.3	"tankyrase 1 binding protein 1 "	mmu-miR-6954-5p	-1.22
Cbln3	ENSMUST00000063871.6	"cerebellin 3 precursor protein "	mmu-miR-6954-5p	-1.22
Ttyh3	ENSMUST00000042661.3	"tweety homolog 3 (Drosophila) "	mmu-miR-6954-5p	-1.22
Hmga1	ENSMUST00000117600.2	"high mobility group AT-hook 1 "	mmu-miR-6954-5p	-1.21
Cdc42ep1	ENSMUST00000059619.1	"CDC42 effector protein (Rho GTPase binding) 1 "	mmu-miR-486a-3p	-1.17
Pvrl1	ENSMUST00000034510.7	"poliovirus receptor-related 1 "	mmu-miR-6954-5p	-1.16
Stx1a	ENSMUST00000005509.5	"syntaxin 1A (brain) "	mmu-miR-486a-3p	-1.15
Celsr2	ENSMUST00000090558.4	"cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila) "	mmu-miR-6954-5p	-1.14
Rph3a	ENSMUST00000079204.5	"rabphilin 3A "	mmu-miR-6954-5p	-1.10
Asb16	ENSMUST00000036467.4	"ankyrin repeat and SOCS box-containing 16 "	mmu-miR-6954-5p	-1.10
Pou2f2	ENSMUST00000175774.3	"POU domain, class 2, transcription factor 2 "	mmu-miR-6954-5p	-1.08
Angel1	ENSMUST00000021682.8	"angel homolog 1 (Drosophila) "	mmu-miR-486a-3p	-1.08
Nat8l	ENSMUST00000056355.8	"N-acetyltransferase 8-like "	mmu-miR-6954-5p	-1.06
Abcg4	ENSMUST00000034648.10	"ATP-binding cassette, sub-family G (WHITE), member 4 "	mmu-miR-486a-3p	-1.05
Zbtb16	ENSMUST00000093852.3	"zinc finger and BTB domain containing 16 "	mmu-miR-6954-5p	-1.04
Fam131c	ENSMUST00000006380.4	"family with sequence similarity 131, member C "	mmu-miR-6954-5p	-1.01
Nlrp3	ENSMUST00000101148.3	"NLR family, pyrin domain containing 3 "	mmu-miR-486a-3p	-1.01
Hrh3	ENSMUST00000056480.4	"histamine receptor H3 "	mmu-miR-486a-3p	-1.00
Spock2	ENSMUST00000121820.3	"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2 "	mmu-miR-6954-5p	-1.00
Stx1b	ENSMUST00000106267.3	"syntaxin 1B "	mmu-miR-486a-3p	-1.00
Src	ENSMUST00000029175.8	"Rous sarcoma oncogene "	mmu-miR-486a-3p	-0.97
Smim24	ENSMUST00000105322.3	"small integral membrane protein 24 "	mmu-miR-6954-5p	-0.97
Bgn	ENSMUST00000033741.9	"biglycan "	mmu-miR-486a-3p	-0.96
Dlk2	ENSMUST00000170271.1	"delta-like 2 homolog (Drosophila) "	mmu-miR-6954-5p	-0.95
Rhog	ENSMUST00000098230.5	"ras homolog gene family, member G "	mmu-miR-6954-5p	-0.95
Klhdc3	ENSMUST00000165007.2	"kelch domain containing 3 "	mmu-miR-6954-5p	-0.94
Foxd2	ENSMUST00000068654.4	"forkhead box D2 "	mmu-miR-486a-3p	-0.94
Psenen	ENSMUST00000043898.6	"presenilin enhancer 2 homolog (C. elegans) "	mmu-miR-6954-5p	-0.94
Msrb1	ENSMUST00000101800.5	"methionine sulfoxide reductase B1 "	mmu-miR-6954-5p	-0.93
Grin2b	ENSMUST00000053880.7	"glutamate receptor, ionotropic, NMDA2B (epsilon 2) "	mmu-miR-486a-3p	-0.93
