Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Gm10175	ENSMUST00000086013.2	"predicted gene 10175 "	mmu-miR-144-3p	-0.84
Atp5g2	ENSMUST00000185641.1	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9) "	mmu-miR-144-3p	-0.76
Nfe2l2	ENSMUST00000102672.4	"nuclear factor, erythroid derived 2, like 2 "	mmu-miR-144-3p	-0.76
Uchl3	ENSMUST00000002289.6	"ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) "	mmu-miR-144-3p	-0.70
Gbe1	ENSMUST00000163832.2	"glucan (1,4-alpha-), branching enzyme 1 "	mmu-miR-144-3p	-0.63
Nup37	ENSMUST00000052355.8	"nucleoporin 37 "	mmu-miR-144-3p	-0.62
Eif4g2	ENSMUST00000162415.2	"eukaryotic translation initiation factor 4, gamma 2 "	mmu-miR-144-3p	-0.62
Ube2d3	ENSMUST00000166033.1	"ubiquitin-conjugating enzyme E2D 3 "	mmu-miR-144-3p	-0.61
Sumo3	ENSMUST00000020501.9	"SMT3 suppressor of mif two 3 homolog 3 (yeast) "	mmu-miR-144-3p	-0.57
Zdhhc21	ENSMUST00000030110.9	"zinc finger, DHHC domain containing 21 "	mmu-miR-144-3p	-0.57
Uchl4	ENSMUST00000039011.3	"ubiquitin carboxyl-terminal esterase L4 "	mmu-miR-144-3p	-0.57
Sorcs3	ENSMUST00000078880.5	"sortilin-related VPS10 domain containing receptor 3 "	mmu-miR-144-3p	-0.54
Ube2d2a	ENSMUST00000170693.2	"ubiquitin-conjugating enzyme E2D 2A "	mmu-miR-144-3p	-0.53
Slc25a36	ENSMUST00000085206.5	"solute carrier family 25, member 36 "	mmu-miR-144-3p	-0.53
Rarb	ENSMUST00000063750.6	"retinoic acid receptor, beta "	mmu-miR-144-3p	-0.52
Clk4	ENSMUST00000109113.2	"CDC like kinase 4 "	mmu-miR-144-3p	-0.52
B230219D22Rik	ENSMUST00000057844.8	"RIKEN cDNA B230219D22 gene "	mmu-miR-144-3p	-0.51
Dtwd1	ENSMUST00000110437.3	"DTW domain containing 1 "	mmu-miR-144-3p	-0.51
Pura	ENSMUST00000051301.3	"purine rich element binding protein A "	mmu-miR-144-3p	-0.51
Zranb2	ENSMUST00000106057.2	"zinc finger, RAN-binding domain containing 2 "	mmu-miR-144-3p	-0.51
Ube2d1	ENSMUST00000020085.6	"ubiquitin-conjugating enzyme E2D 1 "	mmu-miR-144-3p	-0.49
Mycn	ENSMUST00000043396.8	"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian) "	mmu-miR-144-3p	-0.49
Pnrc1	ENSMUST00000049357.9	"proline-rich nuclear receptor coactivator 1 "	mmu-miR-144-3p	-0.49
Msx1	ENSMUST00000063116.9	"msh homeobox 1 "	mmu-miR-144-3p	-0.48
Galnt3	ENSMUST00000028378.3	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 "	mmu-miR-144-3p	-0.48
Gpr183	ENSMUST00000049872.7	"G protein-coupled receptor 183 "	mmu-miR-144-3p	-0.48
Tspan3	ENSMUST00000034876.8	"tetraspanin 3 "	mmu-miR-144-3p	-0.47
Rnft1	ENSMUST00000020827.6	"ring finger protein, transmembrane 1 "	mmu-miR-144-3p	-0.47
Dnajc2	ENSMUST00000115193.2	"DnaJ (Hsp40) homolog, subfamily C, member 2 "	mmu-miR-144-3p	-0.47
Abtb2	ENSMUST00000076212.3	"ankyrin repeat and BTB (POZ) domain containing 2 "	mmu-miR-144-3p	-0.46
Tnfsf11	ENSMUST00000022592.7	"tumor necrosis factor (ligand) superfamily, member 11 "	mmu-miR-144-3p	-0.46
Mef2a	ENSMUST00000156690.2	"myocyte enhancer factor 2A "	mmu-miR-144-3p	-0.46
Ssb	ENSMUST00000166411.2	"Sjogren syndrome antigen B "	mmu-miR-144-3p	-0.46
Vkorc1l1	ENSMUST00000073945.4	"vitamin K epoxide reductase complex, subunit 1-like 1 "	mmu-miR-144-3p	-0.45
Lcor	ENSMUST00000067795.6	"ligand dependent nuclear receptor corepressor "	mmu-miR-144-3p	-0.45
Ube2g1	ENSMUST00000021148.7	"ubiquitin-conjugating enzyme E2G 1 "	mmu-miR-144-3p	-0.45
Smad4	ENSMUST00000025393.8	"SMAD family member 4 "	mmu-miR-144-3p	-0.44
Spag11b	ENSMUST00000110767.1	"sperm associated antigen 11B "	mmu-miR-144-3p	-0.43
Brpf1	ENSMUST00000113122.2	"bromodomain and PHD finger containing, 1 "	mmu-miR-144-3p	-0.43
Uba2	ENSMUST00000102746.5	"ubiquitin-like modifier activating enzyme 2 "	mmu-miR-144-3p	-0.42
Hccs	ENSMUST00000033717.3	"holocytochrome c synthetase "	mmu-miR-144-3p	-0.42
A830080D01Rik	ENSMUST00000057180.7	"RIKEN cDNA A830080D01 gene "	mmu-miR-144-3p	-0.42
Col10a1	ENSMUST00000105511.1	"collagen, type X, alpha 1 "	mmu-miR-144-3p	-0.42
Phf3	ENSMUST00000186733.1	"PHD finger protein 3 "	mmu-miR-144-3p	-0.42
Rfx3	ENSMUST00000165566.2	"regulatory factor X, 3 (influences HLA class II expression) "	mmu-miR-144-3p	-0.42
Ccng2	ENSMUST00000031331.7	"cyclin G2 "	mmu-miR-144-3p	-0.41
Pla2g4a	ENSMUST00000070200.9	"phospholipase A2, group IVA (cytosolic, calcium-dependent) "	mmu-miR-144-3p	-0.41
Pdcl	ENSMUST00000009174.9	"phosducin-like "	mmu-miR-144-3p	-0.41
Pthlh	ENSMUST00000052296.6	"parathyroid hormone-like peptide "	mmu-miR-144-3p	-0.41
Rasa1	ENSMUST00000109552.2	"RAS p21 protein activator 1 "	mmu-miR-144-3p	-0.40
Lsm14a	ENSMUST00000085585.6	"LSM14 homolog A (SCD6, S. cerevisiae) "	mmu-miR-144-3p	-0.40
Plat	ENSMUST00000033941.5	"plasminogen activator, tissue "	mmu-miR-144-3p	-0.40
Hoxa7	ENSMUST00000048715.7	"homeobox A7 "	mmu-miR-144-3p	-0.40
Fam60a	ENSMUST00000054080.9	"family with sequence similarity 60, member A "	mmu-miR-144-3p	-0.40
Pcdh18	ENSMUST00000035931.7	"protocadherin 18 "	mmu-miR-144-3p	-0.39
Thap1	ENSMUST00000036807.6	"THAP domain containing, apoptosis associated protein 1 "	mmu-miR-144-3p	-0.39
Fubp3	ENSMUST00000055244.7	"far upstream element (FUSE) binding protein 3 "	mmu-miR-144-3p	-0.38
Syncrip	ENSMUST00000174391.2	"synaptotagmin binding, cytoplasmic RNA interacting protein "	mmu-miR-144-3p	-0.38
Atp1b1	ENSMUST00000027863.7	"ATPase, Na+/K+ transporting, beta 1 polypeptide "	mmu-miR-144-3p	-0.38
Sh3tc2	ENSMUST00000051720.5	"SH3 domain and tetratricopeptide repeats 2 "	mmu-miR-144-3p	-0.38
Hnrnpf	ENSMUST00000180341.1	"heterogeneous nuclear ribonucleoprotein F "	mmu-miR-144-3p	-0.38
Herpud1	ENSMUST00000161576.2	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 "	mmu-miR-144-3p	-0.38
Ube2d2b	ENSMUST00000072578.7	"ubiquitin-conjugating enzyme E2D 2B "	mmu-miR-144-3p	-0.38
Tet2	ENSMUST00000098603.3	"tet methylcytosine dioxygenase 2 "	mmu-miR-144-3p	-0.38
Mycl	ENSMUST00000106252.3	"v-myc myelocytomatosis viral oncogene homolog, lung carcinoma derived (avian) "	mmu-miR-144-3p	-0.37
Meis2	ENSMUST00000110907.2	"Meis homeobox 2 "	mmu-miR-144-3p	-0.37
Fbxl3	ENSMUST00000022720.9	"F-box and leucine-rich repeat protein 3 "	mmu-miR-144-3p	-0.37
Mbnl1	ENSMUST00000099087.2	"muscleblind-like 1 (Drosophila) "	mmu-miR-144-3p	-0.37
Tmem65	ENSMUST00000072113.5	"transmembrane protein 65 "	mmu-miR-144-3p	-0.37
Etv1	ENSMUST00000095767.4	"ets variant 1 "	mmu-miR-144-3p	-0.37
