Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Polr1b	ENSMUST00000103205.5	"polymerase (RNA) I polypeptide B "	mmu-miR-300-3p	-1.00
Gm6871	ENSMUST00000073410.6	"predicted gene 6871 "	mmu-miR-300-3p	-0.80
Ndufb4	ENSMUST00000023514.3	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex 4 "	mmu-miR-300-3p	-0.76
Lypd4	ENSMUST00000079306.5	"Ly6/Plaur domain containing 4 "	mmu-miR-300-3p	-0.73
Trap1a	ENSMUST00000054534.3	"tumor rejection antigen P1A "	mmu-miR-300-3p	-0.71
Scrg1	ENSMUST00000034023.3	"scrapie responsive gene 1 "	mmu-miR-300-3p	-0.71
8030423J24Rik	ENSMUST00000022091.3	"RIKEN cDNA 8030423J24 gene "	mmu-miR-300-3p	-0.70
Cacybp	ENSMUST00000014370.5	"calcyclin binding protein "	mmu-miR-300-3p	-0.69
Krtap8-1	ENSMUST00000072280.3	"keratin associated protein 8-1 "	mmu-miR-300-3p	-0.66
Clec4b2	ENSMUST00000088455.5	"C-type lectin domain family 4, member b2 "	mmu-miR-300-3p	-0.62
Dmrtc1c2	ENSMUST00000087896.5	"DMRT-like family C1c2 "	mmu-miR-300-3p	-0.60
Polr2d	ENSMUST00000025106.3	"polymerase (RNA) II (DNA directed) polypeptide D "	mmu-miR-300-3p	-0.60
Dmrtc1c1	ENSMUST00000118218.2	"DMRT-like family C1c1 "	mmu-miR-300-3p	-0.60
Rab18	ENSMUST00000097680.5	"RAB18, member RAS oncogene family "	mmu-miR-300-3p	-0.59
Znrf2	ENSMUST00000079869.7	"zinc and ring finger 2 "	mmu-miR-300-3p	-0.58
Hsd17b4	ENSMUST00000025385.6	"hydroxysteroid (17-beta) dehydrogenase 4 "	mmu-miR-300-3p	-0.56
Dynap	ENSMUST00000025390.2	"dynactin associated protein "	mmu-miR-300-3p	-0.55
Hgd	ENSMUST00000160847.1	"homogentisate 1, 2-dioxygenase "	mmu-miR-300-3p	-0.54
Sdhaf1	ENSMUST00000098586.4	"succinate dehydrogenase complex assembly factor 1 "	mmu-miR-300-3p	-0.54
Smap1	ENSMUST00000027339.8	"small ArfGAP 1 "	mmu-miR-300-3p	-0.53
Ccl11	ENSMUST00000000342.2	"chemokine (C-C motif) ligand 11 "	mmu-miR-300-3p	-0.52
C030005K15Rik	ENSMUST00000166373.1	"RIKEN cDNA C030005K15 gene "	mmu-miR-300-3p	-0.51
Fam150a	ENSMUST00000133144.2	"family with sequence similarity 150, member A "	mmu-miR-300-3p	-0.51
