Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Olfr1384	ENSMUST00000060434.3	"olfactory receptor 1384 "	mmu-miR-434-5p	-0.94
Prdm6	ENSMUST00000115399.2	"PR domain containing 6 "	mmu-miR-434-5p	-0.71
Ankub1	ENSMUST00000099091.3	"ankrin repeat and ubiquitin domain containing 1 "	mmu-miR-434-5p	-0.64
Fam129c	ENSMUST00000143662.2	"family with sequence similarity 129, member C "	mmu-miR-434-5p	-0.60
Aggf1	ENSMUST00000022189.8	"angiogenic factor with G patch and FHA domains 1 "	mmu-miR-434-5p	-0.60
Sox7	ENSMUST00000079652.5	"SRY (sex determining region Y)-box 7 "	mmu-miR-434-5p	-0.59
Tnfrsf13b	ENSMUST00000010286.2	"tumor necrosis factor receptor superfamily, member 13b "	mmu-miR-434-5p	-0.59
A930004D18Rik	ENSMUST00000066163.2	"RIKEN cDNA A930004D18 gene "	mmu-miR-434-5p	-0.59
Cacna2d2	ENSMUST00000010210.7	"calcium channel, voltage-dependent, alpha 2/delta subunit 2 "	mmu-miR-434-5p	-0.56
Gtf2e2	ENSMUST00000171010.2	"general transcription factor II E, polypeptide 2 (beta subunit) "	mmu-miR-434-5p	-0.55
Tmprss5	ENSMUST00000165088.2	"transmembrane protease, serine 5 (spinesin) "	mmu-miR-434-5p	-0.54
Ostm1	ENSMUST00000040718.5	"osteopetrosis associated transmembrane protein 1 "	mmu-miR-434-5p	-0.54
BC023829	ENSMUST00000101506.4	"cDNA sequence BC023829 "	mmu-miR-434-5p	-0.53
Zc3h8	ENSMUST00000028866.8	"zinc finger CCCH type containing 8 "	mmu-miR-434-5p	-0.51
Lrat	ENSMUST00000029632.6	"lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase) "	mmu-miR-434-5p	-0.50
Kbtbd13	ENSMUST00000068307.3	"kelch repeat and BTB (POZ) domain containing 13 "	mmu-miR-434-5p	-0.50
St6galnac4	ENSMUST00000102818.5	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 "	mmu-miR-434-5p	-0.49
Wfdc15b	ENSMUST00000018355.5	"WAP four-disulfide core domain 15B "	mmu-miR-434-5p	-0.47
Champ1	ENSMUST00000051870.7	"chromosome alignment maintaining phosphoprotein 1 "	mmu-miR-434-5p	-0.46
Lrrc40	ENSMUST00000072080.4	"leucine rich repeat containing 40 "	mmu-miR-434-5p	-0.45
Zbtb8b	ENSMUST00000106046.2	"zinc finger and BTB domain containing 8b "	mmu-miR-434-5p	-0.44
Rbmx	ENSMUST00000098470.3	"RNA binding motif protein, X chromosome "	mmu-miR-434-5p	-0.43
Hoxa3	ENSMUST00000114434.3	"homeobox A3 "	mmu-miR-434-5p	-0.42
Gm5814	ENSMUST00000177586.1	"predicted pseudogene 5814 "	mmu-miR-434-5p	-0.41
Megf9	ENSMUST00000107359.3	"multiple EGF-like-domains 9 "	mmu-miR-434-5p	-0.40
Ywhab	ENSMUST00000018470.4	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide "	mmu-miR-434-5p	-0.38
Arl6ip5	ENSMUST00000044681.6	"ADP-ribosylation factor-like 6 interacting protein 5 "	mmu-miR-434-5p	-0.37
Ifna12	ENSMUST00000102806.1	"interferon alpha 12 "	mmu-miR-434-5p	-0.37
Wdr38	ENSMUST00000112872.1	"WD repeat domain 38 "	mmu-miR-434-5p	-0.37
Twsg1	ENSMUST00000024906.4	"twisted gastrulation homolog 1 (Drosophila) "	mmu-miR-434-5p	-0.36
Gm10024	ENSMUST00000075421.6	"predicted gene 10024 "	mmu-miR-434-5p	-0.36
Pstpip2	ENSMUST00000114741.2	"proline-serine-threonine phosphatase-interacting protein 2 "	mmu-miR-434-5p	-0.35
Agtr1a	ENSMUST00000066412.7	"angiotensin II receptor, type 1a "	mmu-miR-434-5p	-0.35
Psd2	ENSMUST00000177432.2	"pleckstrin and Sec7 domain containing 2 "	mmu-miR-434-5p	-0.35
Erg	ENSMUST00000113846.4	"avian erythroblastosis virus E-26 (v-ets) oncogene related "	mmu-miR-434-5p	-0.34
F930017D23Rik	ENSMUST00000099888.2	"RIKEN cDNA F930017D23 gene "	mmu-miR-434-5p	-0.33
Smpd5	ENSMUST00000163991.2	"sphingomyelin phosphodiesterase 5 "	mmu-miR-434-5p	-0.33
Tdrd9	ENSMUST00000079009.5	"tudor domain containing 9 "	mmu-miR-434-5p	-0.33
Trappc6b	ENSMUST00000021380.8	"trafficking protein particle complex 6B "	mmu-miR-434-5p	-0.33
Npat	ENSMUST00000035850.7	"nuclear protein in the AT region "	mmu-miR-434-5p	-0.33
Lrp6	ENSMUST00000032322.9	"low density lipoprotein receptor-related protein 6 "	mmu-miR-434-5p	-0.32
Golim4	ENSMUST00000117242.2	"golgi integral membrane protein 4 "	mmu-miR-434-5p	-0.32
Peg3	ENSMUST00000051209.5	"paternally expressed 3 "	mmu-miR-434-5p	-0.32
Nkx2-2	ENSMUST00000067075.6	"NK2 homeobox 2 "	mmu-miR-434-5p	-0.32
Lyrm5	ENSMUST00000039729.3	"LYR motif containing 5 "	mmu-miR-434-5p	-0.32
Krtap19-5	ENSMUST00000053460.2	"keratin associated protein 19-5 "	mmu-miR-434-5p	-0.32
Foxb2	ENSMUST00000072915.2	"forkhead box B2 "	mmu-miR-434-5p	-0.32
Pcolce2	ENSMUST00000015498.8	"procollagen C-endopeptidase enhancer 2 "	mmu-miR-434-5p	-0.32
Ncaph	ENSMUST00000110387.3	"non-SMC condensin I complex, subunit H "	mmu-miR-434-5p	-0.31
Api5	ENSMUST00000028617.6	"apoptosis inhibitor 5 "	mmu-miR-434-5p	-0.31
Gpr82	ENSMUST00000053659.1	"G protein-coupled receptor 82 "	mmu-miR-434-5p	-0.31
Kcnj2	ENSMUST00000042970.2	"potassium inwardly-rectifying channel, subfamily J, member 2 "	mmu-miR-434-5p	-0.30
Kirrel	ENSMUST00000159976.2	"kin of IRRE like (Drosophila) "	mmu-miR-434-5p	-0.30
Stk11	ENSMUST00000003152.8	"serine/threonine kinase 11 "	mmu-miR-434-5p	-0.30
Stxbp4	ENSMUST00000143203.2	"syntaxin binding protein 4 "	mmu-miR-434-5p	-0.30
Nmnat3	ENSMUST00000112935.2	"nicotinamide nucleotide adenylyltransferase 3 "	mmu-miR-434-5p	-0.30
Dab2ip	ENSMUST00000112987.2	"disabled 2 interacting protein "	mmu-miR-434-5p	-0.30
Gng12	ENSMUST00000043148.7	"guanine nucleotide binding protein (G protein), gamma 12 "	mmu-miR-434-5p	-0.29
Aar2	ENSMUST00000029158.3	"AAR2 splicing factor homolog (S. cerevisiae) "	mmu-miR-434-5p	-0.29
Slfn8	ENSMUST00000038141.9	"schlafen 8 "	mmu-miR-434-5p	-0.29
B3glct	ENSMUST00000100404.3	"beta-3-glucosyltransferase "	mmu-miR-434-5p	-0.29
B430305J03Rik	ENSMUST00000066298.2	"RIKEN cDNA B430305J03 gene "	mmu-miR-434-5p	-0.29
Batf	ENSMUST00000040536.5	"basic leucine zipper transcription factor, ATF-like "	mmu-miR-434-5p	-0.28
Gsc	ENSMUST00000021513.5	"goosecoid homeobox "	mmu-miR-434-5p	-0.28
Sncaip	ENSMUST00000115410.3	"synuclein, alpha interacting protein (synphilin) "	mmu-miR-434-5p	-0.28
Pdk4	ENSMUST00000019721.4	"pyruvate dehydrogenase kinase, isoenzyme 4 "	mmu-miR-434-5p	-0.28
Setd3	ENSMUST00000071095.8	"SET domain containing 3 "	mmu-miR-434-5p	-0.28
Tmem156	ENSMUST00000043352.4	"transmembrane protein 156 "	mmu-miR-434-5p	-0.28
Zfp703	ENSMUST00000127097.2	"zinc finger protein 703 "	mmu-miR-434-5p	-0.28
Eif3j2	ENSMUST00000057110.10	"eukaryotic translation initiation factor 3, subunit J2 "	mmu-miR-434-5p	-0.28
Id3	ENSMUST00000008016.2	"inhibitor of DNA binding 3 "	mmu-miR-434-5p	-0.27
Slc22a26	ENSMUST00000120522.2	"solute carrier family 22 (organic cation transporter), member 26 "	mmu-miR-434-5p	-0.27
Agap1	ENSMUST00000027521.9	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 "	mmu-miR-434-5p	-0.27
Fbxo24	ENSMUST00000031732.8	"F-box protein 24 "	mmu-miR-434-5p	-0.27
Atp7a	ENSMUST00000055941.6	"ATPase, Cu++ transporting, alpha polypeptide "	mmu-miR-434-5p	-0.27
Utp6	ENSMUST00000043152.5	"UTP6, small subunit (SSU) processome component, homolog (yeast) "	mmu-miR-434-5p	-0.27
Clpb	ENSMUST00000001884.8	"ClpB caseinolytic peptidase B "	mmu-miR-434-5p	-0.27
Dtwd1	ENSMUST00000110437.3	"DTW domain containing 1 "	mmu-miR-434-5p	-0.27
AA986860	ENSMUST00000039323.7	"expressed sequence AA986860 "	mmu-miR-434-5p	-0.27
Sepsecs	ENSMUST00000031069.7	"Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase "	mmu-miR-434-5p	-0.27
Slc44a2	ENSMUST00000034697.7	"solute carrier family 44, member 2 "	mmu-miR-434-5p	-0.27
Fbrsl1	ENSMUST00000069483.6	"fibrosin-like 1 "	mmu-miR-434-5p	-0.27
Hoxa9	ENSMUST00000114425.2	"homeobox A9 "	mmu-miR-434-5p	-0.26
Lrrc3	ENSMUST00000057608.4	"leucine rich repeat containing 3 "	mmu-miR-434-5p	-0.26
Gpr56	ENSMUST00000179619.2	"G protein-coupled receptor 56 "	mmu-miR-434-5p	-0.26
Pcdh15	ENSMUST00000064562.8	"protocadherin 15 "	mmu-miR-434-5p	-0.26
