Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Ror1	ENSMUST00000039630.5	"receptor tyrosine kinase-like orphan receptor 1 "	mmu-miR-1193-5p	-0.70
Efcab8	ENSMUST00000175856.1	"EF-hand calcium binding domain 8 "	mmu-miR-379-5p	-0.66
Ctf2	ENSMUST00000076091.2	"cardiotrophin 2 "	mmu-miR-379-5p	-0.65
Ube2e3	ENSMUST00000028398.8	"ubiquitin-conjugating enzyme E2E 3 "	mmu-miR-379-5p	-0.59
Eif4g2	ENSMUST00000162415.2	"eukaryotic translation initiation factor 4, gamma 2 "	mmu-miR-1193-5p	-0.55
Zbtb26	ENSMUST00000067043.4	"zinc finger and BTB domain containing 26 "	mmu-miR-379-5p	-0.54
Hmbox1	ENSMUST00000022544.8	"homeobox containing 1 "	mmu-miR-379-5p	-0.54
Cdkn2aip	ENSMUST00000038738.5	"CDKN2A interacting protein "	mmu-miR-1193-5p	-0.51
Tex2	ENSMUST00000042780.8	"testis expressed gene 2 "	mmu-miR-379-5p	-0.45
Kcnj1	ENSMUST00000047334.8	"potassium inwardly-rectifying channel, subfamily J, member 1 "	mmu-miR-379-5p	-0.43
Mog	ENSMUST00000102665.5	"myelin oligodendrocyte glycoprotein "	mmu-miR-1193-5p	-0.43
Kctd6	ENSMUST00000022272.7	"potassium channel tetramerisation domain containing 6 "	mmu-miR-1193-5p	-0.41
Slc20a1	ENSMUST00000028880.4	"solute carrier family 20, member 1 "	mmu-miR-379-5p	-0.38
Ppil4	ENSMUST00000015901.5	"peptidylprolyl isomerase (cyclophilin)-like 4 "	mmu-miR-1193-5p	-0.38
Capza2	ENSMUST00000015877.8	"capping protein (actin filament) muscle Z-line, alpha 2 "	mmu-miR-379-5p	-0.37
Lpgat1	ENSMUST00000110855.2	"lysophosphatidylglycerol acyltransferase 1 "	mmu-miR-379-5p	-0.37
Esrp1	ENSMUST00000108311.3	"epithelial splicing regulatory protein 1 "	mmu-miR-379-5p	-0.36
Greb1l	ENSMUST00000048977.9	"growth regulation by estrogen in breast cancer-like "	mmu-miR-1193-5p	-0.35
Rapgef5	ENSMUST00000109691.2	"Rap guanine nucleotide exchange factor (GEF) 5 "	mmu-miR-1193-5p	-0.34
Lrrc8c	ENSMUST00000067924.7	"leucine rich repeat containing 8 family, member C "	mmu-miR-379-5p	-0.32
Selp	ENSMUST00000162746.1	"selectin, platelet "	mmu-miR-1193-5p	-0.32
Sema3a	ENSMUST00000030714.7	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A "	mmu-miR-379-5p	-0.31
Uprt	ENSMUST00000087867.5	"uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae) "	mmu-miR-379-5p	-0.31
Abcc4	ENSMUST00000036554.7	"ATP-binding cassette, sub-family C (CFTR/MRP), member 4 "	mmu-miR-1193-5p	-0.30
Gdf6	ENSMUST00000057613.2	"growth differentiation factor 6 "	mmu-miR-379-5p	-0.30
