Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Ndufb8	ENSMUST00000026222.5	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex 8 "	mmu-miR-541-5p	-0.97
Hba-x	ENSMUST00000020531.3	"hemoglobin X, alpha-like embryonic chain in Hba complex "	mmu-miR-541-5p	-0.84
Ccdc153	ENSMUST00000092426.3	"coiled-coil domain containing 153 "	mmu-miR-541-5p	-0.72
Gm156	ENSMUST00000118532.2	"predicted gene 156 "	mmu-miR-541-5p	-0.70
Gusb	ENSMUST00000111308.2	"glucuronidase, beta "	mmu-miR-541-5p	-0.69
Gm10615	ENSMUST00000098355.3	"predicted gene 10615 "	mmu-miR-541-5p	-0.68
Spsb2	ENSMUST00000112473.1	"splA/ryanodine receptor domain and SOCS box containing 2 "	mmu-miR-541-5p	-0.66
2310057N15Rik	ENSMUST00000054223.3	"RIKEN cDNA 2310057N15 gene "	mmu-miR-541-5p	-0.62
Gstm7	ENSMUST00000004137.5	"glutathione S-transferase, mu 7 "	mmu-miR-541-5p	-0.62
3110021N24Rik	ENSMUST00000178992.1	"RIKEN cDNA 3110021N24 gene "	mmu-miR-541-5p	-0.62
Gpr34	ENSMUST00000096492.3	"G protein-coupled receptor 34 "	mmu-miR-541-5p	-0.62
Med23	ENSMUST00000092646.7	"mediator complex subunit 23 "	mmu-miR-541-5p	-0.60
Gm3755	ENSMUST00000169555.1	"predicted gene 3755 "	mmu-miR-541-5p	-0.59
Tdgf1	ENSMUST00000035075.8	"teratocarcinoma-derived growth factor 1 "	mmu-miR-541-5p	-0.59
D830030K20Rik	ENSMUST00000178670.1	"RIKEN cDNA D830030K20 gene "	mmu-miR-541-5p	-0.59
Rgs6	ENSMUST00000161801.2	"regulator of G-protein signaling 6 "	mmu-miR-541-5p	-0.59
Zfy2	ENSMUST00000187148.1	"zinc finger protein 2, Y linked "	mmu-miR-541-5p	-0.58
Hoxd10	ENSMUST00000061745.4	"homeobox D10 "	mmu-miR-541-5p	-0.58
Nudt2	ENSMUST00000030154.6	"nudix (nucleoside diphosphate linked moiety X)-type motif 2 "	mmu-miR-541-5p	-0.58
Folh1	ENSMUST00000107271.4	"folate hydrolase 1 "	mmu-miR-541-5p	-0.58
Gm3532	ENSMUST00000181880.1	"predicted gene 3532 "	mmu-miR-541-5p	-0.57
Alox12e	ENSMUST00000019051.2	"arachidonate lipoxygenase, epidermal "	mmu-miR-541-5p	-0.56
Fam216b	ENSMUST00000066437.4	"family with sequence similarity 216, member B "	mmu-miR-541-5p	-0.56
