Target gene	Representative transcript	Gene name	Representative miRNA	Cumulative weighted context++ score
Akap7	ENSMUST00000100012.2	"A kinase (PRKA) anchor protein 7 "	mmu-miR-183-5p	-0.93
Mal2	ENSMUST00000025356.2	"mal, T cell differentiation protein 2 "	mmu-miR-183-5p	-0.90
Pfn2	ENSMUST00000066882.8	"profilin 2 "	mmu-miR-183-5p	-0.87
Psen2	ENSMUST00000111106.2	"presenilin 2 "	mmu-miR-183-5p	-0.79
Ppp2ca	ENSMUST00000020608.2	"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform "	mmu-miR-183-5p	-0.77
Npc2	ENSMUST00000021668.8	"Niemann-Pick type C2 "	mmu-miR-183-5p	-0.74
Epdr1	ENSMUST00000002885.6	"ependymin related protein 1 (zebrafish) "	mmu-miR-183-5p	-0.74
L3mbtl3	ENSMUST00000105519.4	"l(3)mbt-like 3 (Drosophila) "	mmu-miR-183-5p	-0.71
Bnip3l	ENSMUST00000111115.2	"BCL2/adenovirus E1B interacting protein 3-like "	mmu-miR-183-5p	-0.71
Btg1	ENSMUST00000038377.7	"B cell translocation gene 1, anti-proliferative "	mmu-miR-183-5p	-0.68
Rcn2	ENSMUST00000114276.2	"reticulocalbin 2 "	mmu-miR-183-5p	-0.67
Tmpo	ENSMUST00000072239.8	"thymopoietin "	mmu-miR-183-5p	-0.65
Srek1ip1	ENSMUST00000022230.9	"splicing regulatory glutamine/lysine-rich protein 1interacting protein 1 "	mmu-miR-183-5p	-0.64
Slain1	ENSMUST00000069443.8	"SLAIN motif family, member 1 "	mmu-miR-183-5p	-0.64
Unc13b	ENSMUST00000079978.7	"unc-13 homolog B (C. elegans) "	mmu-miR-183-5p	-0.64
Mtmr6	ENSMUST00000022563.7	"myotubularin related protein 6 "	mmu-miR-183-5p	-0.63
Gng5	ENSMUST00000118280.1	"guanine nucleotide binding protein (G protein), gamma 5 "	mmu-miR-183-5p	-0.62
Qk	ENSMUST00000097414.4	"quaking "	mmu-miR-183-5p	-0.61
Pex19	ENSMUST00000111252.3	"peroxisomal biogenesis factor 19 "	mmu-miR-183-5p	-0.60
Idh2	ENSMUST00000107384.4	"isocitrate dehydrogenase 2 (NADP+), mitochondrial "	mmu-miR-183-5p	-0.60
Tmcc3	ENSMUST00000065060.6	"transmembrane and coiled coil domains 3 "	mmu-miR-183-5p	-0.60
Gjd2	ENSMUST00000090275.4	"gap junction protein, delta 2 "	mmu-miR-183-5p	-0.59
Foxn2	ENSMUST00000112238.3	"forkhead box N2 "	mmu-miR-183-5p	-0.59
Lhfpl2	ENSMUST00000054274.2	"lipoma HMGIC fusion partner-like 2 "	mmu-miR-183-5p	-0.59
Ccl20	ENSMUST00000027351.7	"chemokine (C-C motif) ligand 20 "	mmu-miR-183-5p	-0.59
Slc25a20	ENSMUST00000035222.5	"solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20 "	mmu-miR-183-5p	-0.58
Ypel5	ENSMUST00000045174.5	"yippee-like 5 (Drosophila) "	mmu-miR-183-5p	-0.57
Mxd4	ENSMUST00000042701.7	"Max dimerization protein 4 "	mmu-miR-183-5p	-0.56
Cep97	ENSMUST00000023270.8	"centrosomal protein 97 "	mmu-miR-183-5p	-0.56
Tceanc2	ENSMUST00000057043.4	"transcription elongation factor A (SII) N-terminal and central domain containing 2 "	mmu-miR-183-5p	-0.55
Lrp1b	ENSMUST00000052550.7	"low density lipoprotein-related protein 1B (deleted in tumors) "	mmu-miR-183-5p	-0.55
Tsen54	ENSMUST00000021134.4	"tRNA splicing endonuclease 54 homolog (S. cerevisiae) "	mmu-miR-183-5p	-0.54
Lck	ENSMUST00000167288.2	"lymphocyte protein tyrosine kinase "	mmu-miR-183-5p	-0.53
Tmem150a	ENSMUST00000132243.1	"transmembrane protein 150A "	mmu-miR-183-5p	-0.53
Srsf2	ENSMUST00000092404.7	"serine/arginine-rich splicing factor 2 "	mmu-miR-183-5p	-0.52
Mbnl1	ENSMUST00000099087.2	"muscleblind-like 1 (Drosophila) "	mmu-miR-183-5p	-0.52
Ppapdc1b	ENSMUST00000139836.2	"phosphatidic acid phosphatase type 2 domain containing 1B "	mmu-miR-183-5p	-0.52
Kcnk10	ENSMUST00000110113.1	"potassium channel, subfamily K, member 10 "	mmu-miR-183-5p	-0.50
Ppp2cb	ENSMUST00000009774.9	"protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform "	mmu-miR-183-5p	-0.50
Ccdc50	ENSMUST00000100026.4	"coiled-coil domain containing 50 "	mmu-miR-183-5p	-0.50
Ttc7b	ENSMUST00000062957.6	"tetratricopeptide repeat domain 7B "	mmu-miR-183-5p	-0.49
Tmsb4x	ENSMUST00000112172.3	"thymosin, beta 4, X chromosome "	mmu-miR-183-5p	-0.49
Rnf138	ENSMUST00000072847.6	"ring finger protein 138 "	mmu-miR-183-5p	-0.48
Frmd6	ENSMUST00000057859.7	"FERM domain containing 6 "	mmu-miR-183-5p	-0.48
Crk	ENSMUST00000108425.2	"v-crk sarcoma virus CT10 oncogene homolog (avian) "	mmu-miR-183-5p	-0.48
Mapk8ip1	ENSMUST00000111279.3	"mitogen-activated protein kinase 8 interacting protein 1 "	mmu-miR-183-5p	-0.47
Pdcd6	ENSMUST00000022060.5	"programmed cell death 6 "	mmu-miR-183-5p	-0.46
Plekha5	ENSMUST00000087622.3	"pleckstrin homology domain containing, family A member 5 "	mmu-miR-183-5p	-0.46
Erich5	ENSMUST00000060894.7	"glutamate rich 5 "	mmu-miR-183-5p	-0.45
