jtb_ts,jtb_db,symbol_ts,target_gene_ts,representative_transcript_ts,gene_name_ts,representative_mi_rna_ts,cumulative_weighted_context_score_ts,ensembl_ts,fold_change_ts,padj_ts,target_score_db,mirna_db,gene_symbol_db,gene_description_db,ensembl_db,symbol_db,fold_change_db,padj_db
wt_d1338,,Ifitm6,Ifitm6,ENSMUST00000081924.3,interferon induced transmembrane protein 6 ,mmu-miR-6954-5p,-0.41,ENSMUSG00000059108.4,6.3663406,6.00445e-51,,,,,,,,
wt_d1338,,Sox7,Sox7,ENSMUST00000079652.5,SRY (sex determining region Y)-box 7 ,mmu-miR-6954-5p,-0.47,ENSMUSG00000063060.6,3.6688294,3.75116e-05,,,,,,,,
wt_d1338,,Neurl1a,Neurl1a,ENSMUST00000111808.4,neuralized homolog 1A (Drosophila) ,mmu-miR-486a-3p,-0.47,ENSMUSG00000006435.16,3.636002,0.000290272,,,,,,,,
wt_d1338,mf_wt,Nat8l,Nat8l,ENSMUST00000056355.8,N-acetyltransferase 8-like ,mmu-miR-6954-5p,-1.06,ENSMUSG00000048142.9,3.533277,1.98387e-10,83,mmu-miR-486a-3p,Nat8l,N-acetyltransferase 8-like,ENSMUSG00000048142.9,Nat8l,0.13553436,5.93596e-06
wt_d1338,wt_d1338,Nat8l,Nat8l,ENSMUST00000056355.8,N-acetyltransferase 8-like ,mmu-miR-6954-5p,-1.06,ENSMUSG00000048142.9,3.533277,1.98387e-10,83,mmu-miR-486a-3p,Nat8l,N-acetyltransferase 8-like,ENSMUSG00000048142.9,Nat8l,3.533277,1.98387e-10
wt_d1338,,Dhcr24,Dhcr24,ENSMUST00000047973.3,24-dehydrocholesterol reductase ,mmu-miR-6954-5p,-0.41,ENSMUSG00000034926.3,3.241919,8.95552e-87,,,,,,,,
wt_d1338,,Ereg,Ereg,ENSMUST00000031324.4,epiregulin ,mmu-miR-486a-3p,-0.41,ENSMUSG00000029377.5,3.1778073,0.000834745,,,,,,,,
wt_d1338,mf_wt,Ifitm1,Ifitm1,ENSMUST00000106042.3,interferon induced transmembrane protein 1 ,mmu-miR-486a-3p,-1.63,ENSMUSG00000025491.14,3.1693325,4.94319e-39,92,mmu-miR-486a-3p,Ifitm1,interferon induced transmembrane protein 1,ENSMUSG00000025491.14,Ifitm1,0.10428044,8.25203e-36
wt_d1338,wt_d1338,Ifitm1,Ifitm1,ENSMUST00000106042.3,interferon induced transmembrane protein 1 ,mmu-miR-486a-3p,-1.63,ENSMUSG00000025491.14,3.1693325,4.94319e-39,92,mmu-miR-486a-3p,Ifitm1,interferon induced transmembrane protein 1,ENSMUSG00000025491.14,Ifitm1,3.1693325,4.94319e-39
wt_d1338,,Rab3il1,Rab3il1,ENSMUST00000121418.2,RAB3A interacting protein (rabin3)-like 1 ,mmu-miR-6954-5p,-0.69,ENSMUSG00000024663.20,2.9986079,1.14214e-15,,,,,,,,
wt_d1338,,Slc25a23,Slc25a23,ENSMUST00000040280.8,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23 ",mmu-miR-6954-5p,-0.55,ENSMUSG00000046329.14,2.9487004,5.20087e-10,,,,,,,,
wt_d1338,,Tmem150a,Tmem150a,ENSMUST00000132243.1,transmembrane protein 150A ,mmu-miR-486a-3p,-0.4,ENSMUSG00000055912.8,2.5255647,8.12637e-18,,,,,,,,
wt_d1338,,Pemt,Pemt,ENSMUST00000102692.4,phosphatidylethanolamine N-methyltransferase ,mmu-miR-486a-3p,-0.57,ENSMUSG00000000301.16,2.371123,0.002943919,,,,,,,,
wt_d1338,,Znrf3,Znrf3,ENSMUST00000172492.2,zinc and ring finger 3 ,mmu-miR-6954-5p,-0.46,ENSMUSG00000041961.14,2.2548592,1.79729e-16,,,,,,,,
wt_d1338,,Ifitm2,Ifitm2,ENSMUST00000081649.8,interferon induced transmembrane protein 2 ,mmu-miR-6954-5p,-0.86,ENSMUSG00000060591.9,2.235598,1.5841e-82,,,,,,,,
wt_d1338,,Plxna3,Plxna3,ENSMUST00000004326.3,plexin A3 ,mmu-miR-486a-3p,-0.45,ENSMUSG00000031398.13,2.1861074,1.17217e-07,,,,,,,,
wt_d1338,,Mcpt4,Mcpt4,ENSMUST00000043249.8,mast cell protease 4 ,mmu-miR-6954-5p,-0.78,ENSMUSG00000061068.7,2.1437309,6.18154e-07,,,,,,,,
wt_d1338,wt_d1338,Glis2,Glis2,ENSMUST00000014447.7,GLIS family zinc finger 2 ,mmu-miR-486a-3p,-0.55,ENSMUSG00000014303.13,2.1372087,1.28891e-07,96,mmu-miR-486a-3p,Glis2,GLIS family zinc finger 2,ENSMUSG00000014303.13,Glis2,2.1372087,1.28891e-07
wt_d1338,,Adamts10,Adamts10,ENSMUST00000087623.7,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10 ",mmu-miR-6954-5p,-0.4,ENSMUSG00000024299.17,2.0804408,1.13274e-27,,,,,,,,
