TargetScore,miRNA,GeneSymbol,GeneDescription
97,mmu-miR-300-3p,Senp6,SUMO/sentrin specific peptidase 6
97,mmu-miR-300-3p,Il13ra1,"interleukin 13 receptor, alpha 1"
97,mmu-miR-300-3p,Hook3,hook microtubule tethering protein 3
96,mmu-miR-300-3p,Tshz3,teashirt zinc finger family member 3
96,mmu-miR-300-3p,Card11,"caspase recruitment domain family, member 11"
95,mmu-miR-300-3p,9330159F19Rik,RIKEN cDNA 9330159F19 gene
95,mmu-miR-300-3p,Cebpzos,"CCAAT/enhancer binding protein (C/EBP), zeta, opposite strand"
95,mmu-miR-300-3p,Scrg1,scrapie responsive gene 1
95,mmu-miR-300-3p,Cpeb2,cytoplasmic polyadenylation element binding protein 2
95,mmu-miR-300-3p,Rab18,"RAB18, member RAS oncogene family"
94,mmu-miR-300-3p,Vps35,VPS35 retromer complex component
94,mmu-miR-300-3p,Syt11,synaptotagmin XI
94,mmu-miR-300-3p,Ptgs2,prostaglandin-endoperoxide synthase 2
93,mmu-miR-300-3p,Kpna4,karyopherin (importin) alpha 4
93,mmu-miR-300-3p,Sbno1,strawberry notch 1
93,mmu-miR-300-3p,Gnpnat1,glucosamine-phosphate N-acetyltransferase 1
93,mmu-miR-300-3p,Mfsd14a,major facilitator superfamily domain containing 14A
93,mmu-miR-300-3p,Nck2,non-catalytic region of tyrosine kinase adaptor protein 2
93,mmu-miR-300-3p,Smap1,small ArfGAP 1
92,mmu-miR-300-3p,Cmtr2,cap methyltransferase 2
92,mmu-miR-300-3p,Slc4a4,"solute carrier family 4 (anion exchanger), member 4"
92,mmu-miR-300-3p,Bmi1,Bmi1 polycomb ring finger oncogene
92,mmu-miR-300-3p,Smarca1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
92,mmu-miR-300-3p,Slc30a5,"solute carrier family 30 (zinc transporter), member 5"
91,mmu-miR-300-3p,Arl8b,ADP-ribosylation factor-like 8B
91,mmu-miR-300-3p,Dcun1d1,"DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)"
91,mmu-miR-300-3p,Lair1,leukocyte-associated Ig-like receptor 1
91,mmu-miR-300-3p,Zfand6,"zinc finger, AN1-type domain 6"
91,mmu-miR-300-3p,Thbs1,thrombospondin 1
90,mmu-miR-300-3p,Csmd3,CUB and Sushi multiple domains 3
90,mmu-miR-300-3p,S100b,"S100 protein, beta polypeptide, neural"
90,mmu-miR-300-3p,Igsf11,"immunoglobulin superfamily, member 11"
90,mmu-miR-300-3p,Trpm3,"transient receptor potential cation channel, subfamily M, member 3"
90,mmu-miR-300-3p,Kcnma1,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1"
90,mmu-miR-300-3p,Zc3h6,zinc finger CCCH type containing 6
89,mmu-miR-300-3p,Repin1,replication initiator 1
89,mmu-miR-300-3p,Tmem243,"transmembrane protein 243, mitochondrial"
89,mmu-miR-300-3p,Fbxo32,F-box protein 32
89,mmu-miR-300-3p,Znrf2,zinc and ring finger 2
89,mmu-miR-300-3p,Hs2st1,heparan sulfate 2-O-sulfotransferase 1
89,mmu-miR-300-3p,Itgb2,integrin beta 2
89,mmu-miR-300-3p,Dek,DEK oncogene (DNA binding)
89,mmu-miR-300-3p,Gnpda2,glucosamine-6-phosphate deaminase 2
88,mmu-miR-300-3p,Stc1,stanniocalcin 1
88,mmu-miR-300-3p,Nxt2,nuclear transport factor 2-like export factor 2
88,mmu-miR-300-3p,Ivns1abp,influenza virus NS1A binding protein
88,mmu-miR-300-3p,Wac,WW domain containing adaptor with coiled-coil
88,mmu-miR-300-3p,Sema6a,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A"
88,mmu-miR-300-3p,Klhl20,kelch-like 20
88,mmu-miR-300-3p,8030423J24Rik,RIKEN cDNA 8030423J24 gene
88,mmu-miR-300-3p,Slc35d1,"solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1"
