TargetScore,miRNA,GeneSymbol,GeneDescription
98,mmu-miR-99a-5p,Fgf21,fibroblast growth factor 21
95,mmu-miR-99a-5p,Seh1l,SEH1-like (S. cerevisiae
94,mmu-miR-99a-5p,Hs3st3b1,heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1
93,mmu-miR-99a-5p,Ap1ar,adaptor-related protein complex 1 associated regulatory protein
91,mmu-miR-99a-5p,Hs3st2,heparan sulfate (glucosamine) 3-O-sulfotransferase 2
90,mmu-miR-99a-5p,Kbtbd8,kelch repeat and BTB (POZ) domain containing 8
90,mmu-miR-99a-5p,Zzef1,"zinc finger, ZZ-type with EF hand domain 1"
90,mmu-miR-99a-5p,Baz2a,"bromodomain adjacent to zinc finger domain, 2A"
90,mmu-miR-99a-5p,Ttc39a,tetratricopeptide repeat domain 39A
89,mmu-miR-99a-5p,Mtor,mechanistic target of rapamycin kinase
87,mmu-miR-99a-5p,Ptgir,prostaglandin I receptor (IP)
86,mmu-miR-99a-5p,Ctdspl,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"
85,mmu-miR-99a-5p,Fgfr3,fibroblast growth factor receptor 3
83,mmu-miR-99a-5p,Smarca5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"
82,mmu-miR-99a-5p,Raver2,"ribonucleoprotein, PTB-binding 2"
82,mmu-miR-99a-5p,Zfp689,zinc finger protein 689
81,mmu-miR-99a-5p,Nox4,NADPH oxidase 4
79,mmu-miR-99a-5p,Fzd8,frizzled class receptor 8
79,mmu-miR-99a-5p,Mbnl1,muscleblind like splicing factor 1
79,mmu-miR-99a-5p,Nabp1,nucleic acid binding protein 1
78,mmu-miR-99a-5p,Mtmr3,myotubularin related protein 3
77,mmu-miR-99a-5p,Taok1,TAO kinase 1
77,mmu-miR-99a-5p,Adcy1,adenylate cyclase 1
76,mmu-miR-99a-5p,Trib2,tribbles pseudokinase 2
74,mmu-miR-99a-5p,Kcng3,"potassium voltage-gated channel, subfamily G, member 3"
66,mmu-miR-99a-5p,Prdm1,"PR domain containing 1, with ZNF domain"
65,mmu-miR-99a-5p,Znrf2,zinc and ring finger 2
63,mmu-miR-99a-5p,Cxcl3,chemokine (C-X-C motif) ligand 3
62,mmu-miR-99a-5p,Gpr141,G protein-coupled receptor 141
61,mmu-miR-99a-5p,Epdr1,ependymin related protein 1 (zebrafish)
61,mmu-miR-99a-5p,Atpaf1,ATP synthase mitochondrial F1 complex assembly factor 1
59,mmu-miR-99a-5p,Hoxa1,homeobox A1
58,mmu-miR-99a-5p,Ppp3ca,"protein phosphatase 3, catalytic subunit, alpha isoform"
57,mmu-miR-99a-5p,Cubn,cubilin (intrinsic factor-cobalamin receptor)
57,mmu-miR-99a-5p,Abhd2,abhydrolase domain containing 2
57,mmu-miR-99a-5p,Rora,RAR-related orphan receptor alpha
56,mmu-miR-99a-5p,Prr23a1,"proline rich 23A, member 1"
56,mmu-miR-99a-5p,Mtap,methylthioadenosine phosphorylase
54,mmu-miR-99a-5p,C130074G19Rik,RIKEN cDNA C130074G19 gene
53,mmu-miR-99a-5p,Ppfia3,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 3"
52,mmu-miR-99a-5p,Camta1,calmodulin binding transcription activator 1
51,mmu-miR-99a-5p,Rasa2,RAS p21 protein activator 2
51,mmu-miR-99a-5p,Patj,"PATJ, crumbs cell polarity complex component"
51,mmu-miR-99a-5p,Cdyl2,"chromodomain protein, Y chromosome-like 2"
51,mmu-miR-99a-5p,Rmnd5a,required for meiotic nuclear division 5 homolog A
