TargetScore,miRNA,GeneSymbol,GeneDescription
100,mmu-miR-182-5p,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit"
100,mmu-miR-182-5p,Adcy6,adenylate cyclase 6
100,mmu-miR-182-5p,Frs2,fibroblast growth factor receptor substrate 2
99,mmu-miR-182-5p,Prrg3,proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)
99,mmu-miR-182-5p,Cttn,cortactin
99,mmu-miR-182-5p,Camsap2,"calmodulin regulated spectrin-associated protein family, member 2"
99,mmu-miR-182-5p,Rasa1,RAS p21 protein activator 1
99,mmu-miR-182-5p,Vamp3,vesicle-associated membrane protein 3
99,mmu-miR-182-5p,Palld,"palladin, cytoskeletal associated protein"
99,mmu-miR-182-5p,Cd2ap,CD2-associated protein
99,mmu-miR-182-5p,Mtss1,metastasis suppressor 1
99,mmu-miR-182-5p,Spin1,spindlin 1
99,mmu-miR-182-5p,Prkacb,"protein kinase, cAMP dependent, catalytic, beta"
99,mmu-miR-182-5p,Chic1,cysteine-rich hydrophobic domain 1
99,mmu-miR-182-5p,Slc39a1,"solute carrier family 39 (zinc transporter), member 1"
98,mmu-miR-182-5p,Tmem145,transmembrane protein 145
98,mmu-miR-182-5p,Nexmif,neurite extension and migration factor
98,mmu-miR-182-5p,Dab1,disabled 1
98,mmu-miR-182-5p,Ptprg,"protein tyrosine phosphatase, receptor type, G"
98,mmu-miR-182-5p,Clock,circadian locomotor output cycles kaput
98,mmu-miR-182-5p,Nid1,nidogen 1
98,mmu-miR-182-5p,Col25a1,"collagen, type XXV, alpha 1"
98,mmu-miR-182-5p,Snx30,sorting nexin family member 30
98,mmu-miR-182-5p,Hoxa9,homeobox A9
98,mmu-miR-182-5p,Lmtk2,lemur tyrosine kinase 2
97,mmu-miR-182-5p,Tagln3,transgelin 3
97,mmu-miR-182-5p,Xpr1,xenotropic and polytropic retrovirus receptor 1
97,mmu-miR-182-5p,Rgs17,regulator of G-protein signaling 17
97,mmu-miR-182-5p,Slc44a2,"solute carrier family 44, member 2"
97,mmu-miR-182-5p,Add3,adducin 3 (gamma)
97,mmu-miR-182-5p,Sept9,septin 9
97,mmu-miR-182-5p,Usp13,ubiquitin specific peptidase 13 (isopeptidase T-3)
97,mmu-miR-182-5p,Prelid3b,PRELI domain containing 3B
96,mmu-miR-182-5p,Phip,pleckstrin homology domain interacting protein
96,mmu-miR-182-5p,Taf15,TATA-box binding protein associated factor 15
96,mmu-miR-182-5p,Nrn1,neuritin 1
96,mmu-miR-182-5p,Fndc3b,fibronectin type III domain containing 3B
96,mmu-miR-182-5p,Magel2,"melanoma antigen, family L, 2"
96,mmu-miR-182-5p,Prkce,"protein kinase C, epsilon"
96,mmu-miR-182-5p,Fam168a,"family with sequence similarity 168, member A"
96,mmu-miR-182-5p,Zfc3h1,"zinc finger, C3H1-type containing"
96,mmu-miR-182-5p,Arhgef3,Rho guanine nucleotide exchange factor (GEF) 3
96,mmu-miR-182-5p,Plekha7,"pleckstrin homology domain containing, family A member 7"
96,mmu-miR-182-5p,Dcun1d1,"DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)"
96,mmu-miR-182-5p,Phf20l1,PHD finger protein 20-like 1
96,mmu-miR-182-5p,Mast4,microtubule associated serine/threonine kinase family member 4
96,mmu-miR-182-5p,Stox2,storkhead box 2
96,mmu-miR-182-5p,Rarg,"retinoic acid receptor, gamma"
96,mmu-miR-182-5p,Lims1,LIM and senescent cell antigen-like domains 1
96,mmu-miR-182-5p,Abhd18,abhydrolase domain containing 18
96,mmu-miR-182-5p,Rapgef5,Rap guanine nucleotide exchange factor (GEF) 5
96,mmu-miR-182-5p,Bcl2l12,BCL2-like 12 (proline rich)
96,mmu-miR-182-5p,Arf4,ADP-ribosylation factor 4
96,mmu-miR-182-5p,Fam171a1,"family with sequence similarity 171, member A1"
96,mmu-miR-182-5p,Thbs2,thrombospondin 2
96,mmu-miR-182-5p,Wipi2,"WD repeat domain, phosphoinositide interacting 2"
96,mmu-miR-182-5p,Cep83,centrosomal protein 83
96,mmu-miR-182-5p,Pbx2,pre B cell leukemia homeobox 2
95,mmu-miR-182-5p,Fam118a,"family with sequence similarity 118, member A"
95,mmu-miR-182-5p,9330159F19Rik,RIKEN cDNA 9330159F19 gene
95,mmu-miR-182-5p,Ywhag,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide"
95,mmu-miR-182-5p,Dock1,dedicator of cytokinesis 1
95,mmu-miR-182-5p,Cbfa2t3,CBFA2/RUNX1 translocation partner 3
95,mmu-miR-182-5p,Zbtb41,zinc finger and BTB domain containing 41
95,mmu-miR-182-5p,Slco3a1,"solute carrier organic anion transporter family, member 3a1"
95,mmu-miR-182-5p,Etl4,enhancer trap locus 4
95,mmu-miR-182-5p,Taf4b,TATA-box binding protein associated factor 4b
95,mmu-miR-182-5p,Pcnx,pecanex homolog
95,mmu-miR-182-5p,Chst1,carbohydrate sulfotransferase 1
95,mmu-miR-182-5p,Cntn1,contactin 1
95,mmu-miR-182-5p,Ell,elongation factor RNA polymerase II
95,mmu-miR-182-5p,Ncald,neurocalcin delta
95,mmu-miR-182-5p,Rab2a,"RAB2A, member RAS oncogene family"
95,mmu-miR-182-5p,Fbxw7,F-box and WD-40 domain protein 7
95,mmu-miR-182-5p,Kif19a,kinesin family member 19A
95,mmu-miR-182-5p,Ints13,integrator complex subunit 13
95,mmu-miR-182-5p,Topbp1,topoisomerase (DNA) II binding protein 1
95,mmu-miR-182-5p,Nptx1,neuronal pentraxin 1
95,mmu-miR-182-5p,Cdv3,carnitine deficiency-associated gene expressed in ventricle 3
95,mmu-miR-182-5p,Egln1,egl-9 family hypoxia-inducible factor 1
94,mmu-miR-182-5p,Mitf,melanogenesis associated transcription factor
94,mmu-miR-182-5p,Kdm2b,lysine (K)-specific demethylase 2B
94,mmu-miR-182-5p,Dcaf4,DDB1 and CUL4 associated factor 4
94,mmu-miR-182-5p,Evi5,ecotropic viral integration site 5
94,mmu-miR-182-5p,Trabd2b,TraB domain containing 2B
94,mmu-miR-182-5p,Aldh6a1,"aldehyde dehydrogenase family 6, subfamily A1"
94,mmu-miR-182-5p,Tns3,tensin 3
94,mmu-miR-182-5p,Coa7,cytochrome c oxidase assembly factor 7
94,mmu-miR-182-5p,Jazf1,JAZF zinc finger 1
94,mmu-miR-182-5p,Sp3,trans-acting transcription factor 3
94,mmu-miR-182-5p,Anxa11,annexin A11
94,mmu-miR-182-5p,Phyhipl,phytanoyl-CoA hydroxylase interacting protein-like
94,mmu-miR-182-5p,Zc3h15,zinc finger CCCH-type containing 15
94,mmu-miR-182-5p,Cnnm3,cyclin M3
94,mmu-miR-182-5p,Rnf208,ring finger protein 208
94,mmu-miR-182-5p,Slc1a1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1"
94,mmu-miR-182-5p,Inpp5a,inositol polyphosphate-5-phosphatase A
94,mmu-miR-182-5p,Tectb,tectorin beta
94,mmu-miR-182-5p,Nudt13,nudix (nucleoside diphosphate linked moiety X)-type motif 13
94,mmu-miR-182-5p,Mbnl2,muscleblind like splicing factor 2
94,mmu-miR-182-5p,Igf1r,insulin-like growth factor I receptor
94,mmu-miR-182-5p,Slitrk4,"SLIT and NTRK-like family, member 4"
94,mmu-miR-182-5p,Bnip3,BCL2/adenovirus E1B interacting protein 3
94,mmu-miR-182-5p,Dok4,docking protein 4
94,mmu-miR-182-5p,Ahcyl1,S-adenosylhomocysteine hydrolase-like 1
94,mmu-miR-182-5p,Brpf3,"bromodomain and PHD finger containing, 3"
94,mmu-miR-182-5p,Mak,male germ cell-associated kinase
94,mmu-miR-182-5p,Pcx,pyruvate carboxylase
94,mmu-miR-182-5p,Fut9,fucosyltransferase 9
93,mmu-miR-182-5p,Satb2,special AT-rich sequence binding protein 2
93,mmu-miR-182-5p,Ednrb,endothelin receptor type B
93,mmu-miR-182-5p,Tmem170b,transmembrane protein 170B
93,mmu-miR-182-5p,Mrtfb,myocardin related transcription factor B
93,mmu-miR-182-5p,Coro1c,"coronin, actin binding protein 1C"
93,mmu-miR-182-5p,Tro,trophinin
93,mmu-miR-182-5p,Rnf152,ring finger protein 152
93,mmu-miR-182-5p,Ube2q2,ubiquitin-conjugating enzyme E2Q family member 2
93,mmu-miR-182-5p,Magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1"
93,mmu-miR-182-5p,L1cam,L1 cell adhesion molecule
93,mmu-miR-182-5p,Hook3,hook microtubule tethering protein 3
93,mmu-miR-182-5p,Elavl4,ELAV like RNA binding protein 4
93,mmu-miR-182-5p,Adgrl2,adhesion G protein-coupled receptor L2
93,mmu-miR-182-5p,Retreg1,reticulophagy regulator 1
93,mmu-miR-182-5p,Mtm1,X-linked myotubular myopathy gene 1
93,mmu-miR-182-5p,Nufip2,nuclear fragile X mental retardation protein interacting protein 2
93,mmu-miR-182-5p,Braf,Braf transforming gene
93,mmu-miR-182-5p,Atat1,alpha tubulin acetyltransferase 1
93,mmu-miR-182-5p,Gli2,GLI-Kruppel family member GLI2
93,mmu-miR-182-5p,Foxn2,forkhead box N2
93,mmu-miR-182-5p,Zbtb37,zinc finger and BTB domain containing 37
93,mmu-miR-182-5p,Wasl,Wiskott-Aldrich syndrome-like (human)
93,mmu-miR-182-5p,Prtg,protogenin
93,mmu-miR-182-5p,Myrip,myosin VIIA and Rab interacting protein
93,mmu-miR-182-5p,Foxo3,forkhead box O3
93,mmu-miR-182-5p,Tapt1,transmembrane anterior posterior transformation 1
93,mmu-miR-182-5p,Zfp36l1,"zinc finger protein 36, C3H type-like 1"
93,mmu-miR-182-5p,Pdzd8,PDZ domain containing 8
93,mmu-miR-182-5p,Rev1,"REV1, DNA directed polymerase"
93,mmu-miR-182-5p,Gfm2,"G elongation factor, mitochondrial 2"
92,mmu-miR-182-5p,Ell2,elongation factor RNA polymerase II 2
92,mmu-miR-182-5p,Brms1l,breast cancer metastasis-suppressor 1-like
92,mmu-miR-182-5p,Ankrd27,ankyrin repeat domain 27 (VPS9 domain)
92,mmu-miR-182-5p,Wdr76,WD repeat domain 76
92,mmu-miR-182-5p,Stx5a,syntaxin 5A
92,mmu-miR-182-5p,Kdelr2,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2
92,mmu-miR-182-5p,Smad1,SMAD family member 1
