TargetScore,miRNA,GeneSymbol,GeneDescription
100,mmu-miR-144-3p,Nfe2l2,"nuclear factor, erythroid derived 2, like 2"
100,mmu-miR-144-3p,Arid1a,AT rich interactive domain 1A (SWI-like)
99,mmu-miR-144-3p,Fat4,FAT atypical cadherin 4
99,mmu-miR-144-3p,Map3k4,mitogen-activated protein kinase kinase kinase 4
99,mmu-miR-144-3p,Fbn2,fibrillin 2
99,mmu-miR-144-3p,Magi1,"membrane associated guanylate kinase, WW and PDZ domain containing 1"
99,mmu-miR-144-3p,Mapk6,mitogen-activated protein kinase 6
99,mmu-miR-144-3p,Fndc3a,fibronectin type III domain containing 3A
99,mmu-miR-144-3p,Tet2,tet methylcytosine dioxygenase 2
99,mmu-miR-144-3p,Scn8a,"sodium channel, voltage-gated, type VIII, alpha"
99,mmu-miR-144-3p,Brpf1,"bromodomain and PHD finger containing, 1"
99,mmu-miR-144-3p,Rarb,"retinoic acid receptor, beta"
99,mmu-miR-144-3p,Zbtb18,zinc finger and BTB domain containing 18
99,mmu-miR-144-3p,Htra3,HtrA serine peptidase 3
99,mmu-miR-144-3p,Adamts17,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 17"
99,mmu-miR-144-3p,Meis2,Meis homeobox 2
98,mmu-miR-144-3p,Mycn,"v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived"
98,mmu-miR-144-3p,Rfx3,"regulatory factor X, 3 (influences HLA class II expression)"
98,mmu-miR-144-3p,Zbtb34,zinc finger and BTB domain containing 34
98,mmu-miR-144-3p,Kif2a,kinesin family member 2A
98,mmu-miR-144-3p,Usp42,ubiquitin specific peptidase 42
98,mmu-miR-144-3p,Sorcs3,sortilin-related VPS10 domain containing receptor 3
97,mmu-miR-144-3p,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide"
97,mmu-miR-144-3p,Atxn1,ataxin 1
97,mmu-miR-144-3p,Kat6a,K(lysine) acetyltransferase 6A
97,mmu-miR-144-3p,Tmem196,transmembrane protein 196
97,mmu-miR-144-3p,Sap30l,SAP30-like
97,mmu-miR-144-3p,Scfd1,Sec1 family domain containing 1
97,mmu-miR-144-3p,Smad4,SMAD family member 4
97,mmu-miR-144-3p,Scn1a,"sodium channel, voltage-gated, type I, alpha"
96,mmu-miR-144-3p,Stc1,stanniocalcin 1
96,mmu-miR-144-3p,Limch1,LIM and calponin homology domains 1
96,mmu-miR-144-3p,Ptpn9,"protein tyrosine phosphatase, non-receptor type 9"
96,mmu-miR-144-3p,Zdhhc21,"zinc finger, DHHC domain containing 21"
96,mmu-miR-144-3p,Tek,TEK receptor tyrosine kinase
96,mmu-miR-144-3p,Zcchc2,"zinc finger, CCHC domain containing 2"
96,mmu-miR-144-3p,Igip,IgA inducing protein
96,mmu-miR-144-3p,Megf9,multiple EGF-like-domains 9
96,mmu-miR-144-3p,Tshz3,teashirt zinc finger family member 3
96,mmu-miR-144-3p,Arid2,"AT rich interactive domain 2 (ARID, RFX-like)"
96,mmu-miR-144-3p,Cadm2,cell adhesion molecule 2
96,mmu-miR-144-3p,Plekhg1,"pleckstrin homology domain containing, family G (with RhoGef domain) member 1"
96,mmu-miR-144-3p,Afdn,"afadin, adherens junction formation factor"
96,mmu-miR-144-3p,Zfp36l2,"zinc finger protein 36, C3H type-like 2"
96,mmu-miR-144-3p,Ehmt1,euchromatic histone methyltransferase 1
96,mmu-miR-144-3p,Msx1,msh homeobox 1
96,mmu-miR-144-3p,Sinhcaf,SIN3-HDAC complex associated factor
96,mmu-miR-144-3p,Nr1d2,"nuclear receptor subfamily 1, group D, member 2"
95,mmu-miR-144-3p,Cav3,caveolin 3
95,mmu-miR-144-3p,Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing"
95,mmu-miR-144-3p,Uchl3,ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)
95,mmu-miR-144-3p,Uba2,ubiquitin-like modifier activating enzyme 2
95,mmu-miR-144-3p,Gbe1,"glucan (1,4-alpha-), branching enzyme 1"
95,mmu-miR-144-3p,Crebrf,CREB3 regulatory factor
95,mmu-miR-144-3p,Pnrc1,proline-rich nuclear receptor coactivator 1
95,mmu-miR-144-3p,Ccng2,cyclin G2
95,mmu-miR-144-3p,Fam76b,"family with sequence similarity 76, member B"
95,mmu-miR-144-3p,Itsn2,intersectin 2
95,mmu-miR-144-3p,Slc23a2,"solute carrier family 23 (nucleobase transporters), member 2"
95,mmu-miR-144-3p,Irs1,insulin receptor substrate 1
95,mmu-miR-144-3p,Cdh11,cadherin 11
95,mmu-miR-144-3p,Atp5g2,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)"
