TargetScore,miRNA,GeneSymbol,GeneDescription
92,mmu-miR-434-5p,Golim4,golgi integral membrane protein 4
85,mmu-miR-434-5p,Aggf1,angiogenic factor with G patch and FHA domains 1
82,mmu-miR-434-5p,Wdr38,WD repeat domain 38
76,mmu-miR-434-5p,Cish,cytokine inducible SH2-containing protein
74,mmu-miR-434-5p,Hoxa3,homeobox A3
70,mmu-miR-434-5p,Clpb,ClpB caseinolytic peptidase B
69,mmu-miR-434-5p,Agap1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
65,mmu-miR-434-5p,Dab2,"disabled 2, mitogen-responsive phosphoprotein"
65,mmu-miR-434-5p,Ywhab,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide"
59,mmu-miR-434-5p,Bcl2,B cell leukemia/lymphoma 2
58,mmu-miR-434-5p,Zfp827,zinc finger protein 827
58,mmu-miR-434-5p,Tmem185a,transmembrane protein 185A
57,mmu-miR-434-5p,Cacna2d2,"calcium channel, voltage-dependent, alpha 2/delta subunit 2"
57,mmu-miR-434-5p,Sox7,SRY (sex determining region Y)-box 7
57,mmu-miR-434-5p,Slc38a9,"solute carrier family 38, member 9"
57,mmu-miR-434-5p,Pstpip2,proline-serine-threonine phosphatase-interacting protein 2
54,mmu-miR-434-5p,Pcolce2,procollagen C-endopeptidase enhancer 2
54,mmu-miR-434-5p,Tmem140,transmembrane protein 140
52,mmu-miR-434-5p,Kirrel,kirre like nephrin family adhesion molecule 1
51,mmu-miR-434-5p,B3glct,beta-3-glucosyltransferase
