TargetScore,miRNA,GeneSymbol,GeneDescription
100,mmu-miR-134-5p,Cdc40,cell division cycle 40
98,mmu-miR-134-5p,Rfc5,replication factor C (activator 1) 5
96,mmu-miR-134-5p,H6pd,hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
96,mmu-miR-134-5p,Ppp1r7,"protein phosphatase 1, regulatory subunit 7"
96,mmu-miR-134-5p,Slc25a5,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5"
96,mmu-miR-134-5p,Prdx1,peroxiredoxin 1
95,mmu-miR-134-5p,Mbnl1,muscleblind like splicing factor 1
94,mmu-miR-134-5p,Slc37a3,"solute carrier family 37 (glycerol-3-phosphate transporter), member 3"
94,mmu-miR-134-5p,Pdcd7,programmed cell death 7
94,mmu-miR-134-5p,Zmat5,"zinc finger, matrin type 5"
94,mmu-miR-134-5p,C130050O18Rik,RIKEN cDNA C130050O18 gene
94,mmu-miR-134-5p,Atp23,ATP23 metallopeptidase and ATP synthase assembly factor homolog
94,mmu-miR-134-5p,Thbs2,thrombospondin 2
92,mmu-miR-134-5p,Hyal1,hyaluronoglucosaminidase 1
92,mmu-miR-134-5p,Abt1,activator of basal transcription 1
91,mmu-miR-134-5p,Plxnc1,plexin C1
90,mmu-miR-134-5p,Cep41,centrosomal protein 41
90,mmu-miR-134-5p,Antxr1,anthrax toxin receptor 1
89,mmu-miR-134-5p,Itga9,integrin alpha 9
89,mmu-miR-134-5p,Zdhhc21,"zinc finger, DHHC domain containing 21"
89,mmu-miR-134-5p,Gapt,"Grb2-binding adaptor, transmembrane"
88,mmu-miR-134-5p,Tgfbr2,"transforming growth factor, beta receptor II"
88,mmu-miR-134-5p,1600012H06Rik,RIKEN cDNA 1600012H06 gene
88,mmu-miR-134-5p,Itgb8,integrin beta 8
87,mmu-miR-134-5p,Ophn1,oligophrenin 1
87,mmu-miR-134-5p,Gpr146,G protein-coupled receptor 146
87,mmu-miR-134-5p,Tet2,tet methylcytosine dioxygenase 2
87,mmu-miR-134-5p,Col18a1,"collagen, type XVIII, alpha 1"
86,mmu-miR-134-5p,Tspan18,tetraspanin 18
86,mmu-miR-134-5p,Cidea,"cell death-inducing DNA fragmentation factor, alpha subunit-like effector A"
86,mmu-miR-134-5p,Apmap,adipocyte plasma membrane associated protein
86,mmu-miR-134-5p,Ric8a,RIC8 guanine nucleotide exchange factor A
86,mmu-miR-134-5p,Zdhhc9,"zinc finger, DHHC domain containing 9"
85,mmu-miR-134-5p,Rab27a,"RAB27A, member RAS oncogene family"
85,mmu-miR-134-5p,Nf2,neurofibromin 2
85,mmu-miR-134-5p,Pitpna,"phosphatidylinositol transfer protein, alpha"
85,mmu-miR-134-5p,Tmem65,transmembrane protein 65
84,mmu-miR-134-5p,Zfp503,zinc finger protein 503
84,mmu-miR-134-5p,Ttbk2,tau tubulin kinase 2
84,mmu-miR-134-5p,Atp6v0c,"ATPase, H+ transporting, lysosomal V0 subunit C"
84,mmu-miR-134-5p,Cacna1b,"calcium channel, voltage-dependent, N type, alpha 1B subunit"
84,mmu-miR-134-5p,Fntb,"farnesyltransferase, CAAX box, beta"
83,mmu-miR-134-5p,Habp4,hyaluronic acid binding protein 4
83,mmu-miR-134-5p,Ccdc127,coiled-coil domain containing 127
83,mmu-miR-134-5p,Etv5,ets variant 5
83,mmu-miR-134-5p,Gcg,glucagon
