TargetScore,miRNA,GeneSymbol,GeneDescription
97,mmu-miR-541-5p,Zfp292,zinc finger protein 292
95,mmu-miR-541-5p,Stk3,serine/threonine kinase 3
93,mmu-miR-541-5p,Cxcl16,chemokine (C-X-C motif) ligand 16
91,mmu-miR-541-5p,9930021J03Rik,RIKEN cDNA 9930021J03 gene
91,mmu-miR-541-5p,Gm11541,predicted gene 11541
91,mmu-miR-541-5p,Rpgrip1l,Rpgrip1-like
90,mmu-miR-541-5p,Mmp1a,matrix metallopeptidase 1a (interstitial collagenase)
90,mmu-miR-541-5p,Mmp1b,matrix metallopeptidase 1b (interstitial collagenase)
90,mmu-miR-541-5p,Hoxd10,homeobox D10
89,mmu-miR-541-5p,Cyp2c39,"cytochrome P450, family 2, subfamily c, polypeptide 39"
88,mmu-miR-541-5p,En2,engrailed 2
88,mmu-miR-541-5p,Gstm7,"glutathione S-transferase, mu 7"
87,mmu-miR-541-5p,Kpna1,karyopherin (importin) alpha 1
87,mmu-miR-541-5p,Fbxw7,F-box and WD-40 domain protein 7
86,mmu-miR-541-5p,Btbd9,BTB (POZ) domain containing 9
86,mmu-miR-541-5p,Pxdn,peroxidasin
85,mmu-miR-541-5p,Gab1,growth factor receptor bound protein 2-associated protein 1
85,mmu-miR-541-5p,Kcnj2,"potassium inwardly-rectifying channel, subfamily J, member 2"
85,mmu-miR-541-5p,Kif16b,kinesin family member 16B
84,mmu-miR-541-5p,Itga4,integrin alpha 4
84,mmu-miR-541-5p,Gpr34,G protein-coupled receptor 34
83,mmu-miR-541-5p,Fam126b,"family with sequence similarity 126, member B"
83,mmu-miR-541-5p,Srsf10,serine/arginine-rich splicing factor 10
82,mmu-miR-541-5p,Lrrc19,leucine rich repeat containing 19
82,mmu-miR-541-5p,Arid2,"AT rich interactive domain 2 (ARID, RFX-like)"
82,mmu-miR-541-5p,Smad4,SMAD family member 4
81,mmu-miR-541-5p,Lbr,lamin B receptor
81,mmu-miR-541-5p,St13,suppression of tumorigenicity 13
81,mmu-miR-541-5p,Sclt1,sodium channel and clathrin linker 1
81,mmu-miR-541-5p,Nfasc,neurofascin
81,mmu-miR-541-5p,Ift74,intraflagellar transport 74
80,mmu-miR-541-5p,Pcsk5,proprotein convertase subtilisin/kexin type 5
80,mmu-miR-541-5p,Zfp697,zinc finger protein 697
80,mmu-miR-541-5p,Cpeb4,cytoplasmic polyadenylation element binding protein 4
80,mmu-miR-541-5p,Sorcs1,sortilin-related VPS10 domain containing receptor 1
79,mmu-miR-541-5p,Usp15,ubiquitin specific peptidase 15
79,mmu-miR-541-5p,Cenpf,centromere protein F
79,mmu-miR-541-5p,0610037L13Rik,RIKEN cDNA 0610037L13 gene
78,mmu-miR-541-5p,Folh1,folate hydrolase 1
78,mmu-miR-541-5p,Adamts4,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 4"
77,mmu-miR-541-5p,Kcnj3,"potassium inwardly-rectifying channel, subfamily J, member 3"
77,mmu-miR-541-5p,Med23,mediator complex subunit 23
77,mmu-miR-541-5p,Adam30,a disintegrin and metallopeptidase domain 30
77,mmu-miR-541-5p,Far1,fatty acyl CoA reductase 1
76,mmu-miR-541-5p,Hccs,holocytochrome c synthetase
76,mmu-miR-541-5p,Slc6a6,"solute carrier family 6 (neurotransmitter transporter, taurine), member 6"
76,mmu-miR-541-5p,Rab4a,"RAB4A, member RAS oncogene family"
75,mmu-miR-541-5p,Fam155a,"family with sequence similarity 155, member A"
75,mmu-miR-541-5p,Sgip1,SH3-domain GRB2-like (endophilin) interacting protein 1
75,mmu-miR-541-5p,Fgf7,fibroblast growth factor 7
75,mmu-miR-541-5p,2310057N15Rik,RIKEN cDNA 2310057N15 gene
74,mmu-miR-541-5p,Cyth2,cytohesin 2
74,mmu-miR-541-5p,Zfp704,zinc finger protein 704
74,mmu-miR-541-5p,Aqp4,aquaporin 4
74,mmu-miR-541-5p,Aspm,abnormal spindle microtubule assembly
73,mmu-miR-541-5p,Krt26,keratin 26
73,mmu-miR-541-5p,Sele,"selectin, endothelial cell"
72,mmu-miR-541-5p,Jcad,junctional cadherin 5 associated
71,mmu-miR-541-5p,Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing"
71,mmu-miR-541-5p,Kat2a,K(lysine) acetyltransferase 2A
71,mmu-miR-541-5p,Mctp1,"multiple C2 domains, transmembrane 1"
70,mmu-miR-541-5p,Fam13a,"family with sequence similarity 13, member A"
70,mmu-miR-541-5p,Ccdc153,coiled-coil domain containing 153
70,mmu-miR-541-5p,Kcnj6,"potassium inwardly-rectifying channel, subfamily J, member 6"
70,mmu-miR-541-5p,Cog7,component of oligomeric golgi complex 7
70,mmu-miR-541-5p,Mafg,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein G (avian)"
69,mmu-miR-541-5p,Lman2,"lectin, mannose-binding 2"
69,mmu-miR-541-5p,Nipal4,NIPA-like domain containing 4
68,mmu-miR-541-5p,Qrsl1,glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1
68,mmu-miR-541-5p,Ikbkb,inhibitor of kappaB kinase beta
68,mmu-miR-541-5p,Pbx1,pre B cell leukemia homeobox 1
68,mmu-miR-541-5p,Rnf168,ring finger protein 168
67,mmu-miR-541-5p,Ehd4,EH-domain containing 4
67,mmu-miR-541-5p,Neurod6,neurogenic differentiation 6
67,mmu-miR-541-5p,Fam216b,"family with sequence similarity 216, member B"
66,mmu-miR-541-5p,Hba-x,"hemoglobin X, alpha-like embryonic chain in Hba complex"
66,mmu-miR-541-5p,Mfap1a,microfibrillar-associated protein 1A
66,mmu-miR-541-5p,Laptm5,lysosomal-associated protein transmembrane 5
66,mmu-miR-541-5p,Prss33,"protease, serine 33"
66,mmu-miR-541-5p,Zim1,"zinc finger, imprinted 1"
66,mmu-miR-541-5p,Nploc4,"NPL4 homolog, ubiquitin recognition factor"
65,mmu-miR-541-5p,Psors1c2,psoriasis susceptibility 1 candidate 2 (human)
65,mmu-miR-541-5p,Tgs1,trimethylguanosine synthase 1
65,mmu-miR-541-5p,Faf2,Fas associated factor family member 2
65,mmu-miR-541-5p,Tnfsf18,"tumor necrosis factor (ligand) superfamily, member 18"
65,mmu-miR-541-5p,Sptlc2,"serine palmitoyltransferase, long chain base subunit 2"
65,mmu-miR-541-5p,Ankib1,ankyrin repeat and IBR domain containing 1
65,mmu-miR-541-5p,Camta1,calmodulin binding transcription activator 1
65,mmu-miR-541-5p,Caprin1,cell cycle associated protein 1
65,mmu-miR-541-5p,Vmn1r62,vomeronasal 1 receptor 62
65,mmu-miR-541-5p,Nova2,neuro-oncological ventral antigen 2
64,mmu-miR-541-5p,Fgd1,"FYVE, RhoGEF and PH domain containing 1"
64,mmu-miR-541-5p,Peli2,pellino 2
64,mmu-miR-541-5p,Nnmt,nicotinamide N-methyltransferase
64,mmu-miR-541-5p,Tmprss11f,"transmembrane protease, serine 11f"
64,mmu-miR-541-5p,Gabarap,gamma-aminobutyric acid receptor associated protein
63,mmu-miR-541-5p,Armc7,armadillo repeat containing 7
63,mmu-miR-541-5p,Gxylt2,glucoside xylosyltransferase 2
63,mmu-miR-541-5p,Prrg4,proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
63,mmu-miR-541-5p,Kcnmb2,"potassium large conductance calcium-activated channel, subfamily M, beta member 2"
63,mmu-miR-541-5p,Zfp616,zinc finger protein 616
63,mmu-miR-541-5p,Psd3,pleckstrin and Sec7 domain containing 3
63,mmu-miR-541-5p,Tlr8,toll-like receptor 8
62,mmu-miR-541-5p,Nek5,NIMA (never in mitosis gene a)-related expressed kinase 5
62,mmu-miR-541-5p,Gpr158,G protein-coupled receptor 158
62,mmu-miR-541-5p,Ttc9c,tetratricopeptide repeat domain 9C
