TargetScore,miRNA,GeneSymbol,GeneDescription
100,mmu-miR-96-5p,Nexmif,neurite extension and migration factor
100,mmu-miR-96-5p,Slc39a1,"solute carrier family 39 (zinc transporter), member 1"
99,mmu-miR-96-5p,Plppr4,phospholipid phosphatase related 4
99,mmu-miR-96-5p,Phip,pleckstrin homology domain interacting protein
99,mmu-miR-96-5p,Tbr1,T-box brain gene 1
99,mmu-miR-96-5p,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit"
99,mmu-miR-96-5p,Vamp3,vesicle-associated membrane protein 3
99,mmu-miR-96-5p,Jmjd1c,jumonji domain containing 1C
99,mmu-miR-96-5p,Rab3c,"RAB3C, member RAS oncogene family"
99,mmu-miR-96-5p,Zbtb41,zinc finger and BTB domain containing 41
99,mmu-miR-96-5p,Phf20l1,PHD finger protein 20-like 1
99,mmu-miR-96-5p,Slc1a1,"solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1"
99,mmu-miR-96-5p,Cep170b,centrosomal protein 170B
99,mmu-miR-96-5p,Mtss1,metastasis suppressor 1
99,mmu-miR-96-5p,Snx30,sorting nexin family member 30
99,mmu-miR-96-5p,Brpf3,"bromodomain and PHD finger containing, 3"
99,mmu-miR-96-5p,Nova2,neuro-oncological ventral antigen 2
99,mmu-miR-96-5p,Adcy6,adenylate cyclase 6
99,mmu-miR-96-5p,Frs2,fibroblast growth factor receptor substrate 2
98,mmu-miR-96-5p,Slc6a9,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9"
98,mmu-miR-96-5p,Oxsr1,oxidative-stress responsive 1
98,mmu-miR-96-5p,Tns3,tensin 3
98,mmu-miR-96-5p,Prkce,"protein kinase C, epsilon"
98,mmu-miR-96-5p,Palld,"palladin, cytoskeletal associated protein"
98,mmu-miR-96-5p,Ttyh3,tweety family member 3
98,mmu-miR-96-5p,Nlgn2,neuroligin 2
98,mmu-miR-96-5p,Sox6,SRY (sex determining region Y)-box 6
98,mmu-miR-96-5p,Spin1,spindlin 1
98,mmu-miR-96-5p,Wipi2,"WD repeat domain, phosphoinositide interacting 2"
98,mmu-miR-96-5p,E2f5,E2F transcription factor 5
98,mmu-miR-96-5p,Mtor,mechanistic target of rapamycin kinase
97,mmu-miR-96-5p,Tmem145,transmembrane protein 145
97,mmu-miR-96-5p,Tac1,tachykinin 1
97,mmu-miR-96-5p,Dock1,dedicator of cytokinesis 1
97,mmu-miR-96-5p,Ntn4,netrin 4
