TargetScore,miRNA,GeneSymbol,GeneDescription
100,mmu-miR-379-5p,Rfng,RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
97,mmu-miR-379-5p,Spata4,spermatogenesis associated 4
96,mmu-miR-379-5p,Yrdc,yrdC domain containing (E.coli)
95,mmu-miR-379-5p,Hspa5,heat shock protein 5
95,mmu-miR-379-5p,Auh,AU RNA binding protein/enoyl-coenzyme A hydratase
95,mmu-miR-379-5p,Txlng,taxilin gamma
94,mmu-miR-379-5p,Lingo2,leucine rich repeat and Ig domain containing 2
94,mmu-miR-379-5p,B020004C17Rik,RIKEN cDNA B020004C17 gene
93,mmu-miR-379-5p,Gpatch2,G patch domain containing 2
93,mmu-miR-379-5p,Pde2a,"phosphodiesterase 2A, cGMP-stimulated"
92,mmu-miR-379-5p,Eif4g2,"eukaryotic translation initiation factor 4, gamma 2"
92,mmu-miR-379-5p,Hdac9,histone deacetylase 9
91,mmu-miR-379-5p,Lzts3,"leucine zipper, putative tumor suppressor family member 3"
91,mmu-miR-379-5p,Micu2,mitochondrial calcium uptake 2
89,mmu-miR-379-5p,Zmym4,"zinc finger, MYM-type 4"
89,mmu-miR-379-5p,Lca5,Leber congenital amaurosis 5 (human)
88,mmu-miR-379-5p,Nsa2,NSA2 ribosome biogenesis homolog
88,mmu-miR-379-5p,Nrarp,Notch-regulated ankyrin repeat protein
88,mmu-miR-379-5p,Pitpnm3,PITPNM family member 3
87,mmu-miR-379-5p,Dzip1,DAZ interacting protein 1
87,mmu-miR-379-5p,Rnase1,"ribonuclease, RNase A family, 1 (pancreatic)"
87,mmu-miR-379-5p,Zbtb26,zinc finger and BTB domain containing 26
86,mmu-miR-379-5p,Ube2e3,ubiquitin-conjugating enzyme E2E 3
86,mmu-miR-379-5p,Clec12b,"C-type lectin domain family 12, member B"
86,mmu-miR-379-5p,Cdkn2aip,CDKN2A interacting protein
85,mmu-miR-379-5p,Selp,"selectin, platelet"
85,mmu-miR-379-5p,Camkv,CaM kinase-like vesicle-associated
84,mmu-miR-379-5p,Zfp472,zinc finger protein 472
84,mmu-miR-379-5p,Thoc2,THO complex 2
84,mmu-miR-379-5p,Themis,thymocyte selection associated
83,mmu-miR-379-5p,Olfm3,olfactomedin 3
83,mmu-miR-379-5p,Zfp975,zinc finger protein 975
83,mmu-miR-379-5p,Cep76,centrosomal protein 76
83,mmu-miR-379-5p,Foxf2,forkhead box F2
82,mmu-miR-379-5p,Slc20a1,"solute carrier family 20, member 1"
82,mmu-miR-379-5p,Tnrc6b,trinucleotide repeat containing 6b
82,mmu-miR-379-5p,Smim10l1,small integral membrane protein 10 like 1
81,mmu-miR-379-5p,Ybx1,Y box protein 1
80,mmu-miR-379-5p,Nudt4,nudix (nucleoside diphosphate linked moiety X)-type motif 4
80,mmu-miR-379-5p,Hmmr,hyaluronan mediated motility receptor (RHAMM)
80,mmu-miR-379-5p,Gdf6,growth differentiation factor 6
79,mmu-miR-379-5p,Lck,lymphocyte protein tyrosine kinase
78,mmu-miR-379-5p,Ubqln2,ubiquilin 2
78,mmu-miR-379-5p,Cpa6,carboxypeptidase A6
78,mmu-miR-379-5p,P3h3,prolyl 3-hydroxylase 3
78,mmu-miR-379-5p,Tubgcp4,"tubulin, gamma complex associated protein 4"
78,mmu-miR-379-5p,Afap1l1,actin filament associated protein 1-like 1
78,mmu-miR-379-5p,Tmpo,thymopoietin
78,mmu-miR-379-5p,Borcs8,BLOC-1 related complex subunit 8
77,mmu-miR-379-5p,Edn1,endothelin 1
77,mmu-miR-379-5p,Mpig6b,megakaryocyte and platelet inhibitory receptor G6b
77,mmu-miR-379-5p,Ogdh,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)
77,mmu-miR-379-5p,Ascc3,activating signal cointegrator 1 complex subunit 3
77,mmu-miR-379-5p,Tmprss11f,"transmembrane protease, serine 11f"
77,mmu-miR-379-5p,Rps6kl1,ribosomal protein S6 kinase-like 1
76,mmu-miR-379-5p,Prkag2,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit"
76,mmu-miR-379-5p,Tbcel,tubulin folding cofactor E-like
76,mmu-miR-379-5p,Fmn1,formin 1
76,mmu-miR-379-5p,Gm10778,predicted gene 10778
75,mmu-miR-379-5p,Rabggta,"Rab geranylgeranyl transferase, a subunit"
75,mmu-miR-379-5p,Map7,microtubule-associated protein 7
75,mmu-miR-379-5p,Lpgat1,lysophosphatidylglycerol acyltransferase 1
74,mmu-miR-379-5p,1700008P02Rik,RIKEN cDNA 1700008P02 gene
74,mmu-miR-379-5p,Robo2,roundabout guidance receptor 2
74,mmu-miR-379-5p,Nxph1,neurexophilin 1
74,mmu-miR-379-5p,Chmp4b,charged multivesicular body protein 4B
74,mmu-miR-379-5p,Kctd6,potassium channel tetramerisation domain containing 6
73,mmu-miR-379-5p,Scara5,"scavenger receptor class A, member 5"
73,mmu-miR-379-5p,Smurf1,SMAD specific E3 ubiquitin protein ligase 1
72,mmu-miR-379-5p,Ror1,receptor tyrosine kinase-like orphan receptor 1
72,mmu-miR-379-5p,Tbp,TATA box binding protein
71,mmu-miR-379-5p,Tex2,testis expressed gene 2
71,mmu-miR-379-5p,Esrp1,epithelial splicing regulatory protein 1
71,mmu-miR-379-5p,AI464131,expressed sequence AI464131
71,mmu-miR-379-5p,Elp3,elongator acetyltransferase complex subunit 3
71,mmu-miR-379-5p,Epha8,Eph receptor A8
71,mmu-miR-379-5p,Elmod2,ELMO/CED-12 domain containing 2
70,mmu-miR-379-5p,Fbxl20,F-box and leucine-rich repeat protein 20
70,mmu-miR-379-5p,Sema3a,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
70,mmu-miR-379-5p,Nek7,NIMA (never in mitosis gene a)-related expressed kinase 7
69,mmu-miR-379-5p,Arrb1,"arrestin, beta 1"
69,mmu-miR-379-5p,Adhfe1,"alcohol dehydrogenase, iron containing, 1"
69,mmu-miR-379-5p,Rsl24d1,ribosomal L24 domain containing 1
69,mmu-miR-379-5p,Mcph1,"microcephaly, primary autosomal recessive 1"
69,mmu-miR-379-5p,Usp46,ubiquitin specific peptidase 46
69,mmu-miR-379-5p,Dennd6a,DENN/MADD domain containing 6A
69,mmu-miR-379-5p,Padi3,"peptidyl arginine deiminase, type III"
69,mmu-miR-379-5p,2310007B03Rik,RIKEN cDNA 2310007B03 gene
69,mmu-miR-379-5p,Bcl2l15,BCLl2-like 15
68,mmu-miR-379-5p,Trmt2a,TRM2 tRNA methyltransferase 2A
68,mmu-miR-379-5p,Pcdh17,protocadherin 17
68,mmu-miR-379-5p,Zfp953,zinc finger protein 953
68,mmu-miR-379-5p,Gng3,"guanine nucleotide binding protein (G protein), gamma 3"
67,mmu-miR-379-5p,Tspyl3,TSPY-like 3
67,mmu-miR-379-5p,Dele1,DAP3 binding cell death enhancer 1
67,mmu-miR-379-5p,Prrc2b,proline-rich coiled-coil 2B
67,mmu-miR-379-5p,C130026I21Rik,RIKEN cDNA C130026I21 gene
67,mmu-miR-379-5p,Rnf224,ring finger protein 224
67,mmu-miR-379-5p,Kcnb1,"potassium voltage gated channel, Shab-related subfamily, member 1"
66,mmu-miR-379-5p,Tsc22d2,"TSC22 domain family, member 2"
66,mmu-miR-379-5p,Cnnm1,cyclin M1
66,mmu-miR-379-5p,Dhx33,DEAH (Asp-Glu-Ala-His) box polypeptide 33
65,mmu-miR-379-5p,Slco3a1,"solute carrier organic anion transporter family, member 3a1"
65,mmu-miR-379-5p,Mafk,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein K (avian)"
65,mmu-miR-379-5p,Bend6,BEN domain containing 6
64,mmu-miR-379-5p,Serpina3i,"serine (or cysteine) peptidase inhibitor, clade A, member 3I"
64,mmu-miR-379-5p,Ints7,integrator complex subunit 7
64,mmu-miR-379-5p,Map3k1,mitogen-activated protein kinase kinase kinase 1
64,mmu-miR-379-5p,Lsm8,"LSM8 homolog, U6 small nuclear RNA associated"
