TargetScore,miRNA,GeneSymbol,GeneDescription
99,mmu-miR-486a-5p,Snrpd1,small nuclear ribonucleoprotein D1
98,mmu-miR-486a-5p,Abhd17b,abhydrolase domain containing 17B
98,mmu-miR-486a-5p,Srsf3,serine/arginine-rich splicing factor 3
97,mmu-miR-486a-5p,Cops7b,COP9 signalosome subunit 7B
96,mmu-miR-486a-5p,Epha5,Eph receptor A5
96,mmu-miR-486a-5p,Col13a1,"collagen, type XIII, alpha 1"
96,mmu-miR-486a-5p,Glis1,GLIS family zinc finger 1
96,mmu-miR-486a-5p,Rpgrip1l,Rpgrip1-like
95,mmu-miR-486a-5p,Pten,phosphatase and tensin homolog
95,mmu-miR-486a-5p,Adgrg3,adhesion G protein-coupled receptor G3
95,mmu-miR-486a-5p,Mark1,MAP/microtubule affinity regulating kinase 1
95,mmu-miR-486a-5p,Dlx3,distal-less homeobox 3
94,mmu-miR-486a-5p,Baiap2l1,BAI1-associated protein 2-like 1
94,mmu-miR-486a-5p,Arhgap44,Rho GTPase activating protein 44
93,mmu-miR-486a-5p,Smoc1,SPARC related modular calcium binding 1
93,mmu-miR-486a-5p,Neurod6,neurogenic differentiation 6
93,mmu-miR-486a-5p,Il1a,interleukin 1 alpha
92,mmu-miR-486a-5p,Prrc2c,proline-rich coiled-coil 2C
92,mmu-miR-486a-5p,Cadm1,cell adhesion molecule 1
92,mmu-miR-486a-5p,Dcc,deleted in colorectal carcinoma
92,mmu-miR-486a-5p,Sp5,trans-acting transcription factor 5
91,mmu-miR-486a-5p,Tob1,transducer of ErbB-2.1
91,mmu-miR-486a-5p,Cdh7,"cadherin 7, type 2"
91,mmu-miR-486a-5p,Draxin,dorsal inhibitory axon guidance protein
91,mmu-miR-486a-5p,Twistnb,twist basic helix-loop-helix transcription factor 1 neighbor
90,mmu-miR-486a-5p,Tceal6,transcription elongation factor A (SII)-like 6
90,mmu-miR-486a-5p,Foxp1,forkhead box P1
90,mmu-miR-486a-5p,Gabrb3,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3"
90,mmu-miR-486a-5p,Tceal3,transcription elongation factor A (SII)-like 3
89,mmu-miR-486a-5p,Dock3,dedicator of cyto-kinesis 3
89,mmu-miR-486a-5p,Chrac1,chromatin accessibility complex 1
89,mmu-miR-486a-5p,Slc12a5,"solute carrier family 12, member 5"
89,mmu-miR-486a-5p,Osbpl8,oxysterol binding protein-like 8
88,mmu-miR-486a-5p,Gm14440,predicted gene 14440
88,mmu-miR-486a-5p,Yipf5,"Yip1 domain family, member 5"
87,mmu-miR-486a-5p,Bahcc1,BAH domain and coiled-coil containing 1
87,mmu-miR-486a-5p,Naa15,"N(alpha)-acetyltransferase 15, NatA auxiliary subunit"
87,mmu-miR-486a-5p,Mtrex,Mtr4 exosome RNA helicase
87,mmu-miR-486a-5p,Rin1,Ras and Rab interactor 1
86,mmu-miR-486a-5p,Igf1r,insulin-like growth factor I receptor
85,mmu-miR-486a-5p,Emid1,EMI domain containing 1
85,mmu-miR-486a-5p,Gria2,"glutamate receptor, ionotropic, AMPA2 (alpha 2)"
85,mmu-miR-486a-5p,Ldha,lactate dehydrogenase A
85,mmu-miR-486a-5p,Klhl14,kelch-like 14
85,mmu-miR-486a-5p,Pirt,phosphoinositide-interacting regulator of transient receptor potential channels
84,mmu-miR-486a-5p,S1pr3,sphingosine-1-phosphate receptor 3
84,mmu-miR-486a-5p,Fgf13,fibroblast growth factor 13
84,mmu-miR-486a-5p,Nipbl,NIPBL cohesin loading factor
84,mmu-miR-486a-5p,Pik3r1,phosphoinositide-3-kinase regulatory subunit 1
84,mmu-miR-486a-5p,Gab2,growth factor receptor bound protein 2-associated protein 2
83,mmu-miR-486a-5p,Celf2,"CUGBP, Elav-like family member 2"
83,mmu-miR-486a-5p,Agbl5,ATP/GTP binding protein-like 5
83,mmu-miR-486a-5p,Lrrc61,leucine rich repeat containing 61
83,mmu-miR-486a-5p,Slain2,"SLAIN motif family, member 2"
83,mmu-miR-486a-5p,Ptpn7,"protein tyrosine phosphatase, non-receptor type 7"
81,mmu-miR-486a-5p,Exoc3,exocyst complex component 3
81,mmu-miR-486a-5p,Pcdh15,protocadherin 15
81,mmu-miR-486a-5p,Unc5c,unc-5 netrin receptor C
80,mmu-miR-486a-5p,Exph5,exophilin 5
80,mmu-miR-486a-5p,Gsc,goosecoid homeobox
80,mmu-miR-486a-5p,Gabra1,"gamma-aminobutyric acid (GABA) A receptor, subunit alpha 1"
80,mmu-miR-486a-5p,Slc25a32,"solute carrier family 25, member 32"
80,mmu-miR-486a-5p,Gpr153,G protein-coupled receptor 153
80,mmu-miR-486a-5p,Egr2,early growth response 2
79,mmu-miR-486a-5p,Bivm,"basic, immunoglobulin-like variable motif containing"
79,mmu-miR-486a-5p,Cdk4,cyclin-dependent kinase 4
79,mmu-miR-486a-5p,Cabp2,calcium binding protein 2
79,mmu-miR-486a-5p,2210418O10Rik,RIKEN cDNA 2210418O10 gene
79,mmu-miR-486a-5p,Lingo4,leucine rich repeat and Ig domain containing 4
79,mmu-miR-486a-5p,Gm14296,predicted gene 14296
79,mmu-miR-486a-5p,Chic1,cysteine-rich hydrophobic domain 1
79,mmu-miR-486a-5p,Med29,mediator complex subunit 29
78,mmu-miR-486a-5p,Tsc22d2,"TSC22 domain family, member 2"
78,mmu-miR-486a-5p,Cnksr2,connector enhancer of kinase suppressor of Ras 2
78,mmu-miR-486a-5p,Zfp942,zinc finger protein 942
78,mmu-miR-486a-5p,Tomm70a,translocase of outer mitochondrial membrane 70A
78,mmu-miR-486a-5p,Tenm2,teneurin transmembrane protein 2
78,mmu-miR-486a-5p,Mob4,"MOB family member 4, phocein"
77,mmu-miR-486a-5p,Clec12b,"C-type lectin domain family 12, member B"
77,mmu-miR-486a-5p,Rora,RAR-related orphan receptor alpha
77,mmu-miR-486a-5p,Kat5,K(lysine) acetyltransferase 5
77,mmu-miR-486a-5p,E130308A19Rik,RIKEN cDNA E130308A19 gene
76,mmu-miR-486a-5p,Zfp970,zinc finger protein 970
76,mmu-miR-486a-5p,Smarcal1,"SWI/SNF related matrix associated, actin dependent regulator of chromatin, subfamily a-like 1"
76,mmu-miR-486a-5p,Rbpj,recombination signal binding protein for immunoglobulin kappa J region
76,mmu-miR-486a-5p,Gpr33,G protein-coupled receptor 33
76,mmu-miR-486a-5p,Tbx2,T-box 2
75,mmu-miR-486a-5p,Tmem167b,transmembrane protein 167B
75,mmu-miR-486a-5p,Pnkp,polynucleotide kinase 3'- phosphatase
75,mmu-miR-486a-5p,Rgs4,regulator of G-protein signaling 4
75,mmu-miR-486a-5p,Igf2bp3,insulin-like growth factor 2 mRNA binding protein 3
74,mmu-miR-486a-5p,Xiap,X-linked inhibitor of apoptosis
74,mmu-miR-486a-5p,Phactr3,phosphatase and actin regulator 3
74,mmu-miR-486a-5p,Bach2,"BTB and CNC homology, basic leucine zipper transcription factor 2"
73,mmu-miR-486a-5p,Tmub2,transmembrane and ubiquitin-like domain containing 2
73,mmu-miR-486a-5p,Ccdc50,coiled-coil domain containing 50
73,mmu-miR-486a-5p,Ifnar1,interferon (alpha and beta) receptor 1
73,mmu-miR-486a-5p,2510009E07Rik,RIKEN cDNA 2510009E07 gene
73,mmu-miR-486a-5p,Igf1,insulin-like growth factor 1
73,mmu-miR-486a-5p,Ncoa6,nuclear receptor coactivator 6
73,mmu-miR-486a-5p,Hnrnpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1
72,mmu-miR-486a-5p,Mical3,"microtubule associated monooxygenase, calponin and LIM domain containing 3"
72,mmu-miR-486a-5p,Hsd17b7,hydroxysteroid (17-beta) dehydrogenase 7
72,mmu-miR-486a-5p,Cd2ap,CD2-associated protein
72,mmu-miR-486a-5p,Tsn,translin
72,mmu-miR-486a-5p,Rgsl1,regulator of G-protein signaling like 1
72,mmu-miR-486a-5p,Sec22c,"SEC22 homolog C, vesicle trafficking protein"
72,mmu-miR-486a-5p,Kctd1,potassium channel tetramerisation domain containing 1
72,mmu-miR-486a-5p,Tmem88b,transmembrane protein 88B
72,mmu-miR-486a-5p,Smarce1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1"
71,mmu-miR-486a-5p,Zfp651,zinc finger protein 651
71,mmu-miR-486a-5p,Plcb1,"phospholipase C, beta 1"
71,mmu-miR-486a-5p,Nf1,neurofibromin 1
71,mmu-miR-486a-5p,Foxo1,forkhead box O1
71,mmu-miR-486a-5p,Trpm3,"transient receptor potential cation channel, subfamily M, member 3"
71,mmu-miR-486a-5p,Dhrs7b,dehydrogenase/reductase (SDR family) member 7B
70,mmu-miR-486a-5p,Rhoq,ras homolog family member Q
70,mmu-miR-486a-5p,Hoxa11,homeobox A11
70,mmu-miR-486a-5p,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
70,mmu-miR-486a-5p,Atg2b,autophagy related 2B
69,mmu-miR-486a-5p,Armc8,armadillo repeat containing 8
69,mmu-miR-486a-5p,Dennd6a,DENN/MADD domain containing 6A
69,mmu-miR-486a-5p,Slc4a7,"solute carrier family 4, sodium bicarbonate cotransporter, member 7"
69,mmu-miR-486a-5p,Tead1,TEA domain family member 1
68,mmu-miR-486a-5p,Atxn7l3,ataxin 7-like 3
68,mmu-miR-486a-5p,Crebrf,CREB3 regulatory factor
68,mmu-miR-486a-5p,Rex2,reduced expression 2
68,mmu-miR-486a-5p,Col8a2,"collagen, type VIII, alpha 2"
68,mmu-miR-486a-5p,Dkk2,dickkopf WNT signaling pathway inhibitor 2
67,mmu-miR-486a-5p,Mdfic,MyoD family inhibitor domain containing
67,mmu-miR-486a-5p,Eloc,elongin C
67,mmu-miR-486a-5p,Dynll1,dynein light chain LC8-type 1
67,mmu-miR-486a-5p,Sorcs1,sortilin-related VPS10 domain containing receptor 1
