TargetScore,miRNA,GeneSymbol,GeneDescription
94,mmu-miR-147-3p,Ndufa4,"Ndufa4, mitochondrial complex associated"
90,mmu-miR-147-3p,Prkcz,"protein kinase C, zeta"
88,mmu-miR-147-3p,Zwilch,zwilch kinetochore protein
87,mmu-miR-147-3p,Fam222a,"family with sequence similarity 222, member A"
86,mmu-miR-147-3p,Alyref2,Aly/REF export factor 2
85,mmu-miR-147-3p,Tmem117,transmembrane protein 117
80,mmu-miR-147-3p,Pcdh15,protocadherin 15
78,mmu-miR-147-3p,Bdnf,brain derived neurotrophic factor
78,mmu-miR-147-3p,Armc1,armadillo repeat containing 1
77,mmu-miR-147-3p,Kif5a,kinesin family member 5A
77,mmu-miR-147-3p,Tspyl4,TSPY-like 4
75,mmu-miR-147-3p,Npas3,neuronal PAS domain protein 3
75,mmu-miR-147-3p,Hoxa9,homeobox A9
74,mmu-miR-147-3p,Mid1ip1,Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))
73,mmu-miR-147-3p,Lyn,"LYN proto-oncogene, Src family tyrosine kinase"
70,mmu-miR-147-3p,Usp45,ubiquitin specific petidase 45
69,mmu-miR-147-3p,Mlxip,MLX interacting protein
68,mmu-miR-147-3p,Nkx2-3,NK2 homeobox 3
63,mmu-miR-147-3p,9130019O22Rik,RIKEN cDNA 9130019O22 gene
60,mmu-miR-147-3p,Ick,intestinal cell kinase
59,mmu-miR-147-3p,AI593442,expressed sequence AI593442
59,mmu-miR-147-3p,Prokr1,prokineticin receptor 1
58,mmu-miR-147-3p,Hus1,HUS1 checkpoint clamp component
58,mmu-miR-147-3p,Cped1,cadherin-like and PC-esterase domain containing 1
58,mmu-miR-147-3p,AI464131,expressed sequence AI464131
56,mmu-miR-147-3p,Frzb,frizzled-related protein
55,mmu-miR-147-3p,Kmt2a,lysine (K)-specific methyltransferase 2A
55,mmu-miR-147-3p,Lamb2,"laminin, beta 2"
54,mmu-miR-147-3p,Nnat,neuronatin
53,mmu-miR-147-3p,Loxl2,lysyl oxidase-like 2
51,mmu-miR-147-3p,Ccdc182,coiled-coil domain containing 182
