TargetScore,miRNA,GeneSymbol,GeneDescription
99,mmu-miR-370-3p,Mlec,malectin
97,mmu-miR-370-3p,Ino80,INO80 complex subunit
97,mmu-miR-370-3p,Klf12,Kruppel-like factor 12
97,mmu-miR-370-3p,Fam114a2,"family with sequence similarity 114, member A2"
95,mmu-miR-370-3p,Smad1,SMAD family member 1
95,mmu-miR-370-3p,Stap1,signal transducing adaptor family member 1
94,mmu-miR-370-3p,Atxn7l3,ataxin 7-like 3
94,mmu-miR-370-3p,Slc4a4,"solute carrier family 4 (anion exchanger), member 4"
94,mmu-miR-370-3p,Cntnap1,contactin associated protein-like 1
94,mmu-miR-370-3p,Syn3,synapsin III
93,mmu-miR-370-3p,Tnrc6b,trinucleotide repeat containing 6b
93,mmu-miR-370-3p,Sec16a,"SEC16 homolog A, endoplasmic reticulum export factor"
93,mmu-miR-370-3p,Rfx7,"regulatory factor X, 7"
93,mmu-miR-370-3p,Rwdd4a,RWD domain containing 4A
92,mmu-miR-370-3p,Tfcp2l1,transcription factor CP2-like 1
92,mmu-miR-370-3p,Trim33,tripartite motif-containing 33
92,mmu-miR-370-3p,Ing3,"inhibitor of growth family, member 3"
92,mmu-miR-370-3p,Vapb,"vesicle-associated membrane protein, associated protein B and C"
92,mmu-miR-370-3p,Dnmt3a,DNA methyltransferase 3A
92,mmu-miR-370-3p,Dock4,dedicator of cytokinesis 4
92,mmu-miR-370-3p,Frk,fyn-related kinase
91,mmu-miR-370-3p,Kcnq2,"potassium voltage-gated channel, subfamily Q, member 2"
91,mmu-miR-370-3p,Nsun4,"NOL1/NOP2/Sun domain family, member 4"
91,mmu-miR-370-3p,Dtymk,deoxythymidylate kinase
91,mmu-miR-370-3p,Fgf7,fibroblast growth factor 7
91,mmu-miR-370-3p,Tm9sf4,transmembrane 9 superfamily protein member 4
91,mmu-miR-370-3p,Tmem47,transmembrane protein 47
90,mmu-miR-370-3p,Sox11,SRY (sex determining region Y)-box 11
89,mmu-miR-370-3p,Foxo1,forkhead box O1
89,mmu-miR-370-3p,Chrm3,"cholinergic receptor, muscarinic 3, cardiac"
89,mmu-miR-370-3p,Ank3,"ankyrin 3, epithelial"
88,mmu-miR-370-3p,Ccnj,cyclin J
88,mmu-miR-370-3p,Rora,RAR-related orphan receptor alpha
88,mmu-miR-370-3p,Chst11,carbohydrate sulfotransferase 11
88,mmu-miR-370-3p,Pde7a,phosphodiesterase 7A
88,mmu-miR-370-3p,Srsf6,serine/arginine-rich splicing factor 6
88,mmu-miR-370-3p,Wnt10b,"wingless-type MMTV integration site family, member 10B"
87,mmu-miR-370-3p,Add1,adducin 1 (alpha)
87,mmu-miR-370-3p,4833427G06Rik,RIKEN cDNA 4833427G06 gene
87,mmu-miR-370-3p,Rnft2,"ring finger protein, transmembrane 2"
87,mmu-miR-370-3p,Gas2l1,growth arrest-specific 2 like 1
86,mmu-miR-370-3p,Upf1,UPF1 regulator of nonsense transcripts homolog (yeast)
86,mmu-miR-370-3p,Atf7,activating transcription factor 7
86,mmu-miR-370-3p,Baz2a,"bromodomain adjacent to zinc finger domain, 2A"
86,mmu-miR-370-3p,Gm13083,predicted gene 13083
85,mmu-miR-370-3p,Nf1,neurofibromin 1
85,mmu-miR-370-3p,Endod1,endonuclease domain containing 1
85,mmu-miR-370-3p,Frs2,fibroblast growth factor receptor substrate 2
84,mmu-miR-370-3p,Il22ra1,"interleukin 22 receptor, alpha 1"
84,mmu-miR-370-3p,Fam193a,"family with sequence similarity 193, member A"
84,mmu-miR-370-3p,Igf2bp1,insulin-like growth factor 2 mRNA binding protein 1
84,mmu-miR-370-3p,Pacs2,phosphofurin acidic cluster sorting protein 2
84,mmu-miR-370-3p,Dnah17,"dynein, axonemal, heavy chain 17"
83,mmu-miR-370-3p,Paxbp1,PAX3 and PAX7 binding protein 1
83,mmu-miR-370-3p,Plbd2,phospholipase B domain containing 2
83,mmu-miR-370-3p,Trdmt1,tRNA aspartic acid methyltransferase 1
83,mmu-miR-370-3p,Tjp1,tight junction protein 1
83,mmu-miR-370-3p,Them7,thioesterase superfamily member 7
82,mmu-miR-370-3p,Urb2,URB2 ribosome biogenesis 2 homolog (S. cerevisiae)
82,mmu-miR-370-3p,Azi2,5-azacytidine induced gene 2
82,mmu-miR-370-3p,Zfp954,zinc finger protein 954
82,mmu-miR-370-3p,Dmac2,distal membrane arm assembly complex 2
82,mmu-miR-370-3p,Rnf223,ring finger 223
82,mmu-miR-370-3p,Tcim,transcriptional and immune response regulator
81,mmu-miR-370-3p,Cpsf4l,cleavage and polyadenylation specific factor 4-like
81,mmu-miR-370-3p,Chd2,chromodomain helicase DNA binding protein 2
81,mmu-miR-370-3p,Birc2,baculoviral IAP repeat-containing 2
81,mmu-miR-370-3p,Cobl,cordon-bleu WH2 repeat
81,mmu-miR-370-3p,Artn,artemin
81,mmu-miR-370-3p,Pafah2,platelet-activating factor acetylhydrolase 2
80,mmu-miR-370-3p,Nlrc5,"NLR family, CARD domain containing 5"
80,mmu-miR-370-3p,Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing"
80,mmu-miR-370-3p,Tada1,transcriptional adaptor 1
80,mmu-miR-370-3p,Dhx38,DEAH (Asp-Glu-Ala-His) box polypeptide 38
80,mmu-miR-370-3p,Unc13b,unc-13 homolog B
