TargetScore,miRNA,GeneSymbol,GeneDescription
100,mmu-miR-183-5p,Unc13b,unc-13 homolog B
100,mmu-miR-183-5p,Mal2,"mal, T cell differentiation protein 2"
99,mmu-miR-183-5p,Kcnk10,"potassium channel, subfamily K, member 10"
99,mmu-miR-183-5p,Pfn2,profilin 2
99,mmu-miR-183-5p,Slain1,"SLAIN motif family, member 1"
98,mmu-miR-183-5p,Cep97,centrosomal protein 97
97,mmu-miR-183-5p,Psen2,presenilin 2
97,mmu-miR-183-5p,Frmd6,FERM domain containing 6
97,mmu-miR-183-5p,Srek1ip1,splicing regulatory glutamine/lysine-rich protein 1interacting protein 1
97,mmu-miR-183-5p,Mphosph8,M-phase phosphoprotein 8
96,mmu-miR-183-5p,Gstt3,"glutathione S-transferase, theta 3"
96,mmu-miR-183-5p,Ptpn4,"protein tyrosine phosphatase, non-receptor type 4"
96,mmu-miR-183-5p,Spink13,"serine peptidase inhibitor, Kazal type 13"
96,mmu-miR-183-5p,Tmpo,thymopoietin
96,mmu-miR-183-5p,Foxn2,forkhead box N2
95,mmu-miR-183-5p,Rcn2,reticulocalbin 2
95,mmu-miR-183-5p,Srsf2,serine/arginine-rich splicing factor 2
95,mmu-miR-183-5p,Ttc7b,tetratricopeptide repeat domain 7B
94,mmu-miR-183-5p,Tpm1,"tropomyosin 1, alpha"
94,mmu-miR-183-5p,Daam1,dishevelled associated activator of morphogenesis 1
94,mmu-miR-183-5p,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit"
94,mmu-miR-183-5p,Haus2,"HAUS augmin-like complex, subunit 2"
94,mmu-miR-183-5p,Lck,lymphocyte protein tyrosine kinase
94,mmu-miR-183-5p,Ikzf5,IKAROS family zinc finger 5
94,mmu-miR-183-5p,Gjd2,"gap junction protein, delta 2"
93,mmu-miR-183-5p,Pdcd6,programmed cell death 6
93,mmu-miR-183-5p,Map7d2,MAP7 domain containing 2
93,mmu-miR-183-5p,Smc3,structural maintenance of chromosomes 3
93,mmu-miR-183-5p,Dgcr2,DiGeorge syndrome critical region gene 2
93,mmu-miR-183-5p,Mtmr6,myotubularin related protein 6
93,mmu-miR-183-5p,Slitrk1,"SLIT and NTRK-like family, member 1"
93,mmu-miR-183-5p,Ctdspl,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"
92,mmu-miR-183-5p,Ppp2ca,"protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform"
92,mmu-miR-183-5p,Celf2,"CUGBP, Elav-like family member 2"
92,mmu-miR-183-5p,Aldh6a1,"aldehyde dehydrogenase family 6, subfamily A1"
92,mmu-miR-183-5p,Idh2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial"
92,mmu-miR-183-5p,Pex19,peroxisomal biogenesis factor 19
92,mmu-miR-183-5p,Cep170b,centrosomal protein 170B
92,mmu-miR-183-5p,Enah,ENAH actin regulator
