TargetScore,miRNA,GeneSymbol,GeneDescription
94,mmu-miR-144-5p,Taf5,TATA-box binding protein associated factor 5
94,mmu-miR-144-5p,Tfg,Trk-fused gene
93,mmu-miR-144-5p,Smarca2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
93,mmu-miR-144-5p,Hic1,hypermethylated in cancer 1
90,mmu-miR-144-5p,Ttf2,"transcription termination factor, RNA polymerase II"
89,mmu-miR-144-5p,Synj1,synaptojanin 1
89,mmu-miR-144-5p,Aak1,AP2 associated kinase 1
88,mmu-miR-144-5p,Ppp4r4,"protein phosphatase 4, regulatory subunit 4"
88,mmu-miR-144-5p,Vmn1r32,vomeronasal 1 receptor 32
88,mmu-miR-144-5p,Fem1c,fem-1 homolog c (C.elegans)
88,mmu-miR-144-5p,Usp43,ubiquitin specific peptidase 43
87,mmu-miR-144-5p,Atp6v1c1,"ATPase, H+ transporting, lysosomal V1 subunit C1"
87,mmu-miR-144-5p,Olfr630,olfactory receptor 630
86,mmu-miR-144-5p,Htr1f,5-hydroxytryptamine (serotonin) receptor 1F
85,mmu-miR-144-5p,Med14,mediator complex subunit 14
85,mmu-miR-144-5p,Zswim6,zinc finger SWIM-type containing 6
85,mmu-miR-144-5p,Fam120a,"family with sequence similarity 120, member A"
85,mmu-miR-144-5p,Pcdhb11,protocadherin beta 11
84,mmu-miR-144-5p,Rnf214,ring finger protein 214
84,mmu-miR-144-5p,Nrg3,neuregulin 3
84,mmu-miR-144-5p,Abcb7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7"
84,mmu-miR-144-5p,Adgrl4,adhesion G protein-coupled receptor L4
83,mmu-miR-144-5p,Rbfox1,"RNA binding protein, fox-1 homolog (C. elegans) 1"
83,mmu-miR-144-5p,Bbs2,Bardet-Biedl syndrome 2 (human)
83,mmu-miR-144-5p,Utp6,UTP6 small subunit processome component
83,mmu-miR-144-5p,Pih1h3b,PIH1 domain containing 3B
83,mmu-miR-144-5p,Prkacb,"protein kinase, cAMP dependent, catalytic, beta"
83,mmu-miR-144-5p,Grin1,"glutamate receptor, ionotropic, NMDA1 (zeta 1)"
82,mmu-miR-144-5p,Kcnmb2,"potassium large conductance calcium-activated channel, subfamily M, beta member 2"
82,mmu-miR-144-5p,Cypt14,cysteine-rich perinuclear theca 14
81,mmu-miR-144-5p,Nexmif,neurite extension and migration factor
81,mmu-miR-144-5p,Cyth3,cytohesin 3
81,mmu-miR-144-5p,Gucy1b1,"guanylate cyclase 1, soluble, beta 1"
81,mmu-miR-144-5p,Stxbp5,syntaxin binding protein 5 (tomosyn)
