TargetScore,miRNA,GeneSymbol,GeneDescription
98,mmu-miR-455-5p,Mylip,myosin regulatory light chain interacting protein
97,mmu-miR-455-5p,Add3,adducin 3 (gamma)
96,mmu-miR-455-5p,Cacnb4,"calcium channel, voltage-dependent, beta 4 subunit"
96,mmu-miR-455-5p,Acox2,"acyl-Coenzyme A oxidase 2, branched chain"
96,mmu-miR-455-5p,Clock,circadian locomotor output cycles kaput
94,mmu-miR-455-5p,Taf4,TATA-box binding protein associated factor 4
94,mmu-miR-455-5p,Gdap2,ganglioside-induced differentiation-associated-protein 2
94,mmu-miR-455-5p,Cpeb1,cytoplasmic polyadenylation element binding protein 1
94,mmu-miR-455-5p,Aqp4,aquaporin 4
91,mmu-miR-455-5p,Rin2,Ras and Rab interactor 2
90,mmu-miR-455-5p,Peak1,pseudopodium-enriched atypical kinase 1
90,mmu-miR-455-5p,Plvap,plasmalemma vesicle associated protein
89,mmu-miR-455-5p,Brd1,bromodomain containing 1
88,mmu-miR-455-5p,Tnrc6b,trinucleotide repeat containing 6b
88,mmu-miR-455-5p,Tbl1xr1,transducin (beta)-like 1X-linked receptor 1
88,mmu-miR-455-5p,Dcaf5,DDB1 and CUL4 associated factor 5
88,mmu-miR-455-5p,Pcdhb3,protocadherin beta 3
88,mmu-miR-455-5p,Col4a1,"collagen, type IV, alpha 1"
88,mmu-miR-455-5p,P2ry13,"purinergic receptor P2Y, G-protein coupled 13"
88,mmu-miR-455-5p,Rnf223,ring finger 223
87,mmu-miR-455-5p,Cdc14b,CDC14 cell division cycle 14B
87,mmu-miR-455-5p,Ccdc74a,coiled-coil domain containing 74A
87,mmu-miR-455-5p,Usp9x,"ubiquitin specific peptidase 9, X chromosome"
87,mmu-miR-455-5p,Ptger4,prostaglandin E receptor 4 (subtype EP4)
87,mmu-miR-455-5p,Luc7l3,LUC7-like 3 (S. cerevisiae)
87,mmu-miR-455-5p,Atxn7l1,ataxin 7-like 1
86,mmu-miR-455-5p,Irf2,interferon regulatory factor 2
86,mmu-miR-455-5p,Dpyd,dihydropyrimidine dehydrogenase
86,mmu-miR-455-5p,R3hdm2,R3H domain containing 2
86,mmu-miR-455-5p,Corin,corin
86,mmu-miR-455-5p,Kcnj2,"potassium inwardly-rectifying channel, subfamily J, member 2"
86,mmu-miR-455-5p,Dydc1,DPY30 domain containing 1
86,mmu-miR-455-5p,Tpcn1,two pore channel 1
86,mmu-miR-455-5p,Usp3,ubiquitin specific peptidase 3
85,mmu-miR-455-5p,Hecw2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
85,mmu-miR-455-5p,Tnpo1,transportin 1
85,mmu-miR-455-5p,Tjp1,tight junction protein 1
85,mmu-miR-455-5p,Myof,myoferlin
84,mmu-miR-455-5p,Arsk,arylsulfatase K
84,mmu-miR-455-5p,Kif1b,kinesin family member 1B
84,mmu-miR-455-5p,B3gat3,"beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)"
84,mmu-miR-455-5p,Xrcc4,X-ray repair complementing defective repair in Chinese hamster cells 4
84,mmu-miR-455-5p,Mbnl2,muscleblind like splicing factor 2
84,mmu-miR-455-5p,Cdkn1b,cyclin-dependent kinase inhibitor 1B
